"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,4,"ALB","Albania",1,"Berat","Qark|Region","County",NA,NA
2,4,"ALB","Albania",2,"Dibër","Qark|Region","County",NA,"Dibra| Dibrë"
3,4,"ALB","Albania",3,"Durrës","Qark|Region","County",NA,"Durresi|Durrsi|Durazzo"
4,4,"ALB","Albania",4,"Elbasan","Qark|Region","County",NA,NA
5,4,"ALB","Albania",5,"Fier","Qark|Region","County",NA,NA
6,4,"ALB","Albania",6,"Gjirokastër","Qark|Region","County",NA,"Gjinokastër|Argirocastro|Argyrocastro|Argyrokastron"
7,4,"ALB","Albania",7,"Korçë","Qark|Region","County",NA,"Coriza|Corizza|Koritsa|Koritza|Korça|Kortscha"
8,4,"ALB","Albania",8,"Kukës","Qark|Region","County",NA,"Kosova|Kossovo"
9,4,"ALB","Albania",9,"Lezhë","Qark|Region","County",NA,"Alessio|Lezha"
10,4,"ALB","Albania",10,"Shkodër","Qark|Region","County",NA,"Escútari|Shkodra|Skodë|Scutari"
11,4,"ALB","Albania",11,"Tiranë","Qark|Region","County",NA,"Tiran|Tirana"
12,4,"ALB","Albania",12,"Vlorë","Qark|Region","County",NA,"Vlona|Vlora|Vlonë|Valona"
