"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,4,"ALB","Albania",1,"Berat",1,"Beratit","Rreth","District",NA,"Berat"
2,4,"ALB","Albania",1,"Berat",2,"Kuçovës","Rreth","District",NA,"Kuçovë"
3,4,"ALB","Albania",1,"Berat",3,"Skraparit","Rreth","District",NA,"Skaprar|Skrapar"
4,4,"ALB","Albania",2,"Dibër",4,"Bulqizës","Rreth","District",NA,"Bulcuizë|Bulqizë"
5,4,"ALB","Albania",2,"Dibër",5,"Dibrës","Rreth","District",NA,"Dibra|Dibrë|Dibër"
6,4,"ALB","Albania",2,"Dibër",6,"Matit","Rreth","District",NA,"Mat"
7,4,"ALB","Albania",3,"Durrës",7,"Durrësit","Rreth","District",NA,"Durresi|Durrsi|Durazzo"
8,4,"ALB","Albania",3,"Durrës",8,"Krujës","Rreth","District",NA,"Krujë"
9,4,"ALB","Albania",4,"Elbasan",9,"Elbasanit","Rreth","District",NA,"Elbasan"
10,4,"ALB","Albania",4,"Elbasan",10,"Gramshit","Rreth","District",NA,"Gramsh"
11,4,"ALB","Albania",4,"Elbasan",11,"Librazhdit","Rreth","District",NA,"Librazhd"
12,4,"ALB","Albania",4,"Elbasan",12,"Peqinit","Rreth","District",NA,"Pequin"
13,4,"ALB","Albania",5,"Fier",13,"Fierit","Rreth","District",NA,"Fier"
14,4,"ALB","Albania",5,"Fier",14,"Lushnjës","Rreth","District",NA,"Lushenjë|Lushnja|Lushnjë"
15,4,"ALB","Albania",5,"Fier",15,"Mallakastrës","Rreth","District",NA,"Mallkastër"
16,4,"ALB","Albania",6,"Gjirokastër",16,"Gjirokastrës","Rreth","District",NA,"Gjinokastër|Argirocastro|Argyrocastro|Argyrokastron|Gjirokastër"
17,4,"ALB","Albania",6,"Gjirokastër",17,"Përmetit","Rreth","District",NA,"Përmet"
18,4,"ALB","Albania",6,"Gjirokastër",18,"Tepelenës","Rreth","District",NA,"Tepelenë"
19,4,"ALB","Albania",7,"Korçë",19,"Devollit","Rreth","District",NA,"Devoll"
20,4,"ALB","Albania",7,"Korçë",20,"Kolonjës","Rreth","District",NA,"Ersekë|Kolonja|Kolonjë"
21,4,"ALB","Albania",7,"Korçë",21,"Korçës","Rreth","District",NA,"Coriza|Corizza|Koritsa|Koritza|Korça|Kortscha|Korçë"
22,4,"ALB","Albania",7,"Korçë",22,"Pogradecit","Rreth","District",NA,"Pogradec"
23,4,"ALB","Albania",8,"Kukës",23,"Has","Rreth","District",NA,NA
24,4,"ALB","Albania",8,"Kukës",24,"Kukësit","Rreth","District",NA,"Kosova|Kossovo|Kukës"
25,4,"ALB","Albania",8,"Kukës",25,"Tropojës","Rreth","District",NA,"Tropojë"
26,4,"ALB","Albania",9,"Lezhë",26,"Kurbinit","Rreth","District",NA,"Kurbin"
27,4,"ALB","Albania",9,"Lezhë",27,"Lezhës","Rreth","District",NA,"Alessio|Lezha|Lezhë"
28,4,"ALB","Albania",9,"Lezhë",28,"Mirditës","Rreth","District",NA,"Mirditë"
29,4,"ALB","Albania",9,"Lezhë",29,"Shkodrës","Rreth","District",NA,"Escútari|Shkodra|Skodër|Scutari|Shkodër"
30,4,"ALB","Albania",10,"Shkodër",30,"Malësi e Madhe","Rreth","District",NA,NA
31,4,"ALB","Albania",10,"Shkodër",31,"Pukës","Rreth","District",NA,"Pukë"
32,4,"ALB","Albania",10,"Shkodër",32,"Shkodrës","Rreth","District",NA,"Escútari|Shkodra|Skodër|Scutari|Shkodër"
33,4,"ALB","Albania",11,"Tiranë",33,"Kavajës","Rreth","District",NA,"Kavajë"
34,4,"ALB","Albania",11,"Tiranë",34,"Tiranës","Rreth","District",NA,"Tiran|Tirana|Tiranë"
35,4,"ALB","Albania",12,"Vlorë",35,"Delvinës","Rreth","District",NA,"Delvinë"
36,4,"ALB","Albania",12,"Vlorë",36,"Sarandës","Rreth","District",NA,"Sarandë"
37,4,"ALB","Albania",12,"Vlorë",37,"Vlorës","Rreth","District",NA,"Vlona|Vlora|Vlonë|Valona|Vlorë"
