"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun","Région","Region",NA,NA
2,38,"BFA","Burkina Faso",2,"Cascades","Région","Region",NA,NA
3,38,"BFA","Burkina Faso",3,"Centre-Est","Région","Region",NA,NA
4,38,"BFA","Burkina Faso",4,"Centre-Nord","Région","Region",NA,NA
5,38,"BFA","Burkina Faso",5,"Centre-Ouest","Région","Region",NA,NA
6,38,"BFA","Burkina Faso",6,"Centre-Sud","Région","Region",NA,NA
7,38,"BFA","Burkina Faso",7,"Centre","Région","Region",NA,NA
8,38,"BFA","Burkina Faso",8,"Est","Région","Region",NA,NA
9,38,"BFA","Burkina Faso",9,"Haut-Bassins","Région","Region",NA,NA
10,38,"BFA","Burkina Faso",10,"Nord","Région","Region",NA,NA
11,38,"BFA","Burkina Faso",11,"Plateau-Central","Région","Region",NA,NA
12,38,"BFA","Burkina Faso",12,"Sahel","Région","Region",NA,NA
13,38,"BFA","Burkina Faso",13,"Sud-Ouest","Région","Region",NA,NA
