"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",1,"Balé","Province","Province",NA,"Bale"
2,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",2,"Banwa","Province","Province",NA,NA
3,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",3,"Kossi","Province","Province",NA,NA
4,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",4,"Mouhoun","Province","Province",NA,NA
5,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",5,"Nayala","Province","Province",NA,NA
6,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",6,"Sourou","Province","Province",NA,NA
7,38,"BFA","Burkina Faso",2,"Cascades",7,"Comoé","Province","Province",NA,"Comoe"
8,38,"BFA","Burkina Faso",2,"Cascades",8,"Léraba","Province","Province",NA,"Leraba"
9,38,"BFA","Burkina Faso",3,"Centre-Est",9,"Boulgou","Province","Province",NA,NA
10,38,"BFA","Burkina Faso",3,"Centre-Est",10,"Koulpélogo","Province","Province",NA,"Koulpelogo"
11,38,"BFA","Burkina Faso",3,"Centre-Est",11,"Kouritenga","Province","Province",NA,NA
12,38,"BFA","Burkina Faso",4,"Centre-Nord",12,"Bam","Province","Province",NA,NA
13,38,"BFA","Burkina Faso",4,"Centre-Nord",13,"Namentenga","Province","Province",NA,NA
14,38,"BFA","Burkina Faso",4,"Centre-Nord",14,"Sanmatenga","Province","Province",NA,NA
15,38,"BFA","Burkina Faso",5,"Centre-Ouest",15,"Boulkiemdé","Province","Province",NA,"Boulkiemde"
16,38,"BFA","Burkina Faso",5,"Centre-Ouest",16,"Sanguié","Province","Province",NA,"Sanguie"
17,38,"BFA","Burkina Faso",5,"Centre-Ouest",17,"Sissili","Province","Province",NA,NA
18,38,"BFA","Burkina Faso",5,"Centre-Ouest",18,"Ziro","Province","Province",NA,NA
19,38,"BFA","Burkina Faso",6,"Centre-Sud",19,"Bazèga","Province","Province",NA,"Bazega"
20,38,"BFA","Burkina Faso",6,"Centre-Sud",20,"Nahouri","Province","Province",NA,NA
21,38,"BFA","Burkina Faso",6,"Centre-Sud",21,"Zoundwéogo","Province","Province",NA,"Zoundweogo"
22,38,"BFA","Burkina Faso",7,"Centre",22,"Kadiogo","Province","Province",NA,NA
23,38,"BFA","Burkina Faso",8,"Est",23,"Gnagna","Province","Province",NA,NA
24,38,"BFA","Burkina Faso",8,"Est",24,"Gourma","Province","Province",NA,NA
25,38,"BFA","Burkina Faso",8,"Est",25,"Komandjoari","Province","Province",NA,"Komonjdjari"
26,38,"BFA","Burkina Faso",8,"Est",26,"Kompienga","Province","Province",NA,NA
27,38,"BFA","Burkina Faso",8,"Est",27,"Tapoa","Province","Province",NA,NA
28,38,"BFA","Burkina Faso",9,"Haut-Bassins",28,"Houet","Province","Province",NA,NA
29,38,"BFA","Burkina Faso",9,"Haut-Bassins",29,"Kénédougou","Province","Province",NA,"Kenedougou"
30,38,"BFA","Burkina Faso",9,"Haut-Bassins",30,"Tuy","Province","Province",NA,NA
31,38,"BFA","Burkina Faso",10,"Nord",31,"Loroum","Province","Province",NA,NA
32,38,"BFA","Burkina Faso",10,"Nord",32,"Passoré","Province","Province",NA,"Passore"
33,38,"BFA","Burkina Faso",10,"Nord",33,"Yatenga","Province","Province",NA,NA
34,38,"BFA","Burkina Faso",10,"Nord",34,"Zondoma","Province","Province",NA,NA
35,38,"BFA","Burkina Faso",11,"Plateau-Central",35,"Ganzourgou","Province","Province",NA,NA
36,38,"BFA","Burkina Faso",11,"Plateau-Central",36,"Kourwéogo","Province","Province",NA,"Kourweogo"
37,38,"BFA","Burkina Faso",11,"Plateau-Central",37,"Oubritenga","Province","Province",NA,NA
38,38,"BFA","Burkina Faso",12,"Sahel",38,"Oudalan","Province","Province",NA,NA
39,38,"BFA","Burkina Faso",12,"Sahel",39,"Séno","Province","Province",NA,"Seno"
40,38,"BFA","Burkina Faso",12,"Sahel",40,"Soum","Province","Province",NA,NA
41,38,"BFA","Burkina Faso",12,"Sahel",41,"Yagha","Province","Province",NA,NA
42,38,"BFA","Burkina Faso",13,"Sud-Ouest",42,"Bougouriba","Province","Province",NA,NA
43,38,"BFA","Burkina Faso",13,"Sud-Ouest",43,"Ioba","Province","Province",NA,NA
44,38,"BFA","Burkina Faso",13,"Sud-Ouest",44,"Noumbiel","Province","Province",NA,NA
45,38,"BFA","Burkina Faso",13,"Sud-Ouest",45,"Poni","Province","Province",NA,NA
