"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,223,"CHE","Switzerland",1,"Aargau",1,"Aarau","District","District",NA,NA
2,223,"CHE","Switzerland",1,"Aargau",2,"Baden","District","District",NA,NA
3,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten","District","District",NA,NA
4,223,"CHE","Switzerland",1,"Aargau",4,"Brugg","District","District",NA,NA
5,223,"CHE","Switzerland",1,"Aargau",5,"Kulm","District","District",NA,NA
6,223,"CHE","Switzerland",1,"Aargau",6,"Laufenburg","District","District",NA,NA
7,223,"CHE","Switzerland",1,"Aargau",7,"Lenzburg","District","District",NA,NA
8,223,"CHE","Switzerland",1,"Aargau",8,"Muri","District","District",NA,NA
9,223,"CHE","Switzerland",1,"Aargau",9,"Rheinfelden","District","District",NA,NA
10,223,"CHE","Switzerland",1,"Aargau",10,"Zofingen","District","District",NA,NA
11,223,"CHE","Switzerland",1,"Aargau",11,"Zurzach","District","District",NA,NA
12,223,"CHE","Switzerland",2,"Appenzell Ausserrhoden",12,"Appenzell Ausserrhoden","District","District",NA,NA
13,223,"CHE","Switzerland",3,"Appenzell Innerrhoden",13,"Appenzell Innerrhoden","District","District",NA,NA
14,223,"CHE","Switzerland",4,"Basel-Landschaft",14,"Arlesheim","District","District",NA,NA
15,223,"CHE","Switzerland",4,"Basel-Landschaft",15,"Laufen","District","District",NA,NA
16,223,"CHE","Switzerland",4,"Basel-Landschaft",16,"Liestal","District","District",NA,NA
17,223,"CHE","Switzerland",4,"Basel-Landschaft",17,"Sissach","District","District",NA,NA
18,223,"CHE","Switzerland",4,"Basel-Landschaft",18,"Waldenburg","District","District",NA,NA
19,223,"CHE","Switzerland",5,"Basel-Stadt",19,"Basel","District","District",NA,NA
20,223,"CHE","Switzerland",5,"Basel-Stadt",20,"Bettingen","District","District",NA,NA
21,223,"CHE","Switzerland",5,"Basel-Stadt",21,"Riehen","District","District",NA,NA
22,223,"CHE","Switzerland",6,"Bern",22,"Aarberg","District","District",NA,NA
