"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",1,"Aarau","Commune","Municipality",NA,NA
2,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",2,"Biberstein","Commune","Municipality",NA,NA
3,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",3,"Buchs","Commune","Municipality",NA,NA
4,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",4,"Densbüren","Commune","Municipality",NA,NA
5,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",5,"Erlinsbach","Commune","Municipality",NA,NA
6,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",6,"Gränichen","Commune","Municipality",NA,NA
7,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",7,"Hirschthal","Commune","Municipality",NA,NA
8,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",8,"Küttigen","Commune","Municipality",NA,NA
9,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",9,"Muhen","Commune","Municipality",NA,NA
10,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",10,"Oberentfelden","Commune","Municipality",NA,NA
11,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",11,"Rohr","Commune","Municipality",NA,NA
12,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",12,"Suhr","Commune","Municipality",NA,NA
13,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",13,"Unterentfelden","Commune","Municipality",NA,NA
14,223,"CHE","Switzerland",1,"Aargau",2,"Baden",14,"Baden","Commune","Municipality",NA,NA
15,223,"CHE","Switzerland",1,"Aargau",2,"Baden",15,"Bellikon","Commune","Municipality",NA,NA
16,223,"CHE","Switzerland",1,"Aargau",2,"Baden",16,"Bergdietikon","Commune","Municipality",NA,NA
17,223,"CHE","Switzerland",1,"Aargau",2,"Baden",17,"Birmenstorf","Commune","Municipality",NA,NA
18,223,"CHE","Switzerland",1,"Aargau",2,"Baden",18,"Ehrendingen","Commune","Municipality",NA,NA
19,223,"CHE","Switzerland",1,"Aargau",2,"Baden",19,"Ennetbaden","Commune","Municipality",NA,NA
20,223,"CHE","Switzerland",1,"Aargau",2,"Baden",20,"Fislisbach","Commune","Municipality",NA,NA
21,223,"CHE","Switzerland",1,"Aargau",2,"Baden",21,"Freienwil","Commune","Municipality",NA,NA
22,223,"CHE","Switzerland",1,"Aargau",2,"Baden",22,"Gebenstorf","Commune","Municipality",NA,NA
23,223,"CHE","Switzerland",1,"Aargau",2,"Baden",23,"Künten","Commune","Municipality",NA,NA
24,223,"CHE","Switzerland",1,"Aargau",2,"Baden",24,"Killwangen","Commune","Municipality",NA,NA
25,223,"CHE","Switzerland",1,"Aargau",2,"Baden",25,"Mägenwil","Commune","Municipality",NA,NA
26,223,"CHE","Switzerland",1,"Aargau",2,"Baden",26,"Mellingen","Commune","Municipality",NA,NA
27,223,"CHE","Switzerland",1,"Aargau",2,"Baden",27,"Neuenhof","Commune","Municipality",NA,NA
28,223,"CHE","Switzerland",1,"Aargau",2,"Baden",28,"Niederrohrdorf","Commune","Municipality",NA,NA
29,223,"CHE","Switzerland",1,"Aargau",2,"Baden",29,"Oberrohrdorf","Commune","Municipality",NA,NA
30,223,"CHE","Switzerland",1,"Aargau",2,"Baden",30,"Obersiggenthal","Commune","Municipality",NA,NA
31,223,"CHE","Switzerland",1,"Aargau",2,"Baden",31,"Remetschwil","Commune","Municipality",NA,NA
32,223,"CHE","Switzerland",1,"Aargau",2,"Baden",32,"Spreitenbach","Commune","Municipality",NA,NA
33,223,"CHE","Switzerland",1,"Aargau",2,"Baden",33,"Stetten","Commune","Municipality",NA,NA
