"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,5,"DZA","Algeria",1,"Aïn Defla","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0639><U+064A><U+0646> <U+0627><U+0644><U+062F><U+0641><U+0644><U+0649>","Ain Dafla"
2,5,"DZA","Algeria",2,"Aïn Témouchent","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0639><U+064A><U+0646> <U+062A><U+0645><U+0648><U+0634><U+0646><U+062A>","Ain Tamouchent"
3,5,"DZA","Algeria",3,"Adrar","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0623><U+062F><U+0631><U+0627>","Duperré"
4,5,"DZA","Algeria",4,"Alger","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631>","Algeri|Algiers|Algier|al-Jazair|al-Djazair|El Djazaïr|Argel|Dzayer|Djezaïr"
5,5,"DZA","Algeria",5,"Annaba","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0639><U+0646><U+0627><U+0628><U+0629>","Anaba|Bona|Bône"
6,5,"DZA","Algeria",6,"Béchar","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0634><U+0627><U+0631>","Colomb-Béchar|Bechar"
7,5,"DZA","Algeria",7,"Béjaïa","Wilaya","Province","<U+0628><U+062C><U+0627><U+064A><U+0629>","Bougie|Bedjaya|Bidjaia|Bugia|Bujia"
8,5,"DZA","Algeria",8,"Batna","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0627><U+062A><U+0646><U+0629>",NA
9,5,"DZA","Algeria",9,"Biskra","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0633><U+0643><U+0631><U+0629>","Beskra"
10,5,"DZA","Algeria",10,"Blida","Wilaya","Province","<U+0627><U+0644><U+0628><U+0644><U+064A><U+062F><U+0629>","El Boulaïda|Al-Boulaida"
11,5,"DZA","Algeria",11,"Bordj Bou Arréridj","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0631><U+062C> <U+0628><U+0648><U+0639><U+0631><U+064A><U+0631><U+064A><U+062C>","Borjbouarirej|Bordi Bou Arreridj"
12,5,"DZA","Algeria",12,"Bouira","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0628><U+0648><U+064A><U+0631><U+0629>",NA
13,5,"DZA","Algeria",13,"Boumerdès","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0628><U+0648><U+0645><U+0631><U+062F><U+0627><U+0633>","Boumerdas"
14,5,"DZA","Algeria",14,"Chlef","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0634><U+0644><U+0641>","El Asnam|Orléansville|Ech Cheliff"
15,5,"DZA","Algeria",15,"Constantine","Wilaya","Province","<U+0642><U+0633><U+0646><U+0637><U+064A><U+0646><U+0629>","Constantina|Costatina|Qoussantina|Qacentina"
16,5,"DZA","Algeria",16,"Djelfa","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+062C><U+0644><U+0641><U+0629>","El Djelfa"
17,5,"DZA","Algeria",17,"El Bayadh","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0628><U+064A><U+0636>","El Bayad|El Beyyadh|Géryville"
18,5,"DZA","Algeria",18,"El Oued","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0648><U+0627><U+062F><U+064A>","El Ouadi|El Wad"
19,5,"DZA","Algeria",19,"El Tarf","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0637><U+0627><U+0631><U+0641>","Et Tarf|El Taref"
20,5,"DZA","Algeria",20,"Ghardaïa","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+063A><U+0631><U+062F><U+0627><U+064A><U+0629>","GhardaSa|Gharday"
21,5,"DZA","Algeria",21,"Guelma","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0642><U+0627><U+0644><U+0645><U+0629>",NA
22,5,"DZA","Algeria",22,"Illizi","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+064A><U+0632><U+064A>","Polignac|Fort Polignac|Ilizi"
23,5,"DZA","Algeria",23,"Jijel","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062C><U+064A><U+062C><U+0644>","Djidjel| Djidjelli"
24,5,"DZA","Algeria",24,"Khenchela","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+062E><U+0646><U+0634><U+0644><U+0629>","Khenchela"
25,5,"DZA","Algeria",25,"Laghouat","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0623><U+063A><U+0648><U+0627><U+0637>",NA
26,5,"DZA","Algeria",26,"M'Sila","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0645><U+0633><U+064A><U+0644><U+0629>","Msila"
27,5,"DZA","Algeria",27,"Médéa","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0645><U+062F><U+064A><U+0629>","El Mediyya|Lemdiyya"
28,5,"DZA","Algeria",28,"Mascara","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0645><U+0639><U+0633><U+0643><U+0631>","Mouaskar"
29,5,"DZA","Algeria",29,"Mila","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0645><U+064A><U+0644><U+0629>",NA
30,5,"DZA","Algeria",30,"Mostaganem","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0645><U+0633><U+062A><U+063A><U+0627><U+0646><U+0645>","Mostaghanem|Mestghanem"
31,5,"DZA","Algeria",31,"Naâma","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0627><U+0644><U+0646><U+0639><U+0627><U+0645><U+0629>","Naama"
32,5,"DZA","Algeria",32,"Oran","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0648><U+0647><U+0631><U+0627><U+0646>","Orán|Orano|Orão|Ouahran|Ouahrane|Wahran"
33,5,"DZA","Algeria",33,"Ouargla","Wilaya","Province","<U+0648><U+0631><U+0642><U+0644><U+0629>","Wargla"
34,5,"DZA","Algeria",34,"Oum el Bouaghi","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0623><U+0645> <U+0627><U+0644><U+0628><U+0648><U+0627><U+0642><U+064A>","Oum el Bouagui|Canrobert"
35,5,"DZA","Algeria",35,"Relizane","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+063A><U+0644><U+064A><U+0632><U+0627><U+0646>","Ghelizane|Ghilizane"
36,5,"DZA","Algeria",36,"Sétif","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0633><U+0637><U+064A><U+0641>","Stif"
37,5,"DZA","Algeria",37,"Saïda","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0633><U+0639><U+064A><U+062F><U+0629>",NA
38,5,"DZA","Algeria",38,"Sidi Bel Abbès","Wilaya","Province","<U+0648><U+0644><U+0627><U+064A><U+0629> <U+0633><U+064A><U+062F><U+064A> <U+0628><U+0644><U+0639><U+0628><U+0627><U+0633>","Sidi-Bel-Abbes"
