"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,5,"DZA","Algeria",1,"Aïn Defla",1,"Ain Benian","Commune-Cotiere","Commune-Cotiere",NA,NA
2,5,"DZA","Algeria",1,"Aïn Defla",2,"Ain Bouihi","Commune","Commune",NA,"Ain Bouyahia"
3,5,"DZA","Algeria",1,"Aïn Defla",3,"Ain Defla","Chef-Lieu-Wilaya","Chef-Lieu-Wilaya",NA,"Ain-Defla|`Ayn Daflah"
4,5,"DZA","Algeria",1,"Aïn Defla",4,"Ain Lechiakh","Commune","Commune",NA,NA
5,5,"DZA","Algeria",1,"Aïn Defla",5,"Ain Soltane","Commune","Commune",NA,NA
6,5,"DZA","Algeria",1,"Aïn Defla",6,"Ain Tork","Commune","Commune",NA,"Ain Torki"
7,5,"DZA","Algeria",1,"Aïn Defla",7,"Arib","Commune","Commune",NA,NA
8,5,"DZA","Algeria",1,"Aïn Defla",8,"Barbouche","Commune","Commune",NA,NA
9,5,"DZA","Algeria",1,"Aïn Defla",9,"Bathia","Commune","Commune",NA,NA
10,5,"DZA","Algeria",1,"Aïn Defla",10,"Belaas","Commune","Commune",NA,NA
11,5,"DZA","Algeria",1,"Aïn Defla",11,"Ben Allal","Commune","Commune",NA,NA
12,5,"DZA","Algeria",1,"Aïn Defla",12,"Bir Ould Khelifa","Commune","Commune",NA,"Bir Ouled Khelifa"
13,5,"DZA","Algeria",1,"Aïn Defla",13,"Bordj Emir Khaled","Commune","Commune",NA,NA
14,5,"DZA","Algeria",1,"Aïn Defla",14,"Boumedfaa","Commune","Commune",NA,NA
15,5,"DZA","Algeria",1,"Aïn Defla",15,"Bourached","Commune","Commune",NA,NA
16,5,"DZA","Algeria",1,"Aïn Defla",16,"Djelida","Commune","Commune",NA,NA
17,5,"DZA","Algeria",1,"Aïn Defla",17,"Djemaa Ouled Cheikh","Commune","Commune",NA,NA
18,5,"DZA","Algeria",1,"Aïn Defla",18,"Djendel","Commune","Commune",NA,"Jandal"
19,5,"DZA","Algeria",1,"Aïn Defla",19,"El Abadia","Commune","Commune",NA,"El Abbadia|al-Ab`a-di-yah"
20,5,"DZA","Algeria",1,"Aïn Defla",20,"El Amra","Commune","Commune",NA,"al-Amrah"
21,5,"DZA","Algeria",1,"Aïn Defla",21,"El Attaf","Commune","Commune",NA,"al-Ashir"
22,5,"DZA","Algeria",1,"Aïn Defla",22,"El Hassania","Commune","Commune",NA,NA
23,5,"DZA","Algeria",1,"Aïn Defla",23,"El Maine","Commune","Commune",NA,"El Mayene"
24,5,"DZA","Algeria",1,"Aïn Defla",24,"Hammam Righa","Commune","Commune",NA,NA
25,5,"DZA","Algeria",1,"Aïn Defla",25,"Hoceinia","Commune","Commune",NA,"El Hoceinia"
26,5,"DZA","Algeria",1,"Aïn Defla",26,"Khemis Miliana","Commune","Commune",NA,"Khamis Milyanah"
27,5,"DZA","Algeria",1,"Aïn Defla",27,"Mekhatria","Commune","Commune",NA,NA
28,5,"DZA","Algeria",1,"Aïn Defla",28,"Miliana","Commune","Commune",NA,"Milyanah"
29,5,"DZA","Algeria",1,"Aïn Defla",29,"Oued Chorfa","Commune","Commune",NA,NA
30,5,"DZA","Algeria",1,"Aïn Defla",30,"Oued Djemaa","Commune","Commune",NA,NA
31,5,"DZA","Algeria",1,"Aïn Defla",31,"Rouina","Commune","Commune",NA,"Ruwinah"
32,5,"DZA","Algeria",1,"Aïn Defla",32,"Sidi Lakhdar","Commune","Commune",NA,NA
