"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,69,"EGY","Egypt",1,"Ad Daqahliyah","Muhafazah","Governorate","<U+0627><U+0644><U+062F><U+0642><U+0647><U+0644><U+064A><U+0629>","Al Daqahliyah|Dacahlia|Dagahlia|Dakahlieh|Dakahliya|Dakalieh|Daqaliya|Dakahlia|Dekahlia"
2,69,"EGY","Egypt",2,"Al Bahr al Ahmar","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0628><U+062D><U+0631> <U+0627><U+0644><U+0623><U+062D><U+0645><U+0631>","Mar Rojo|Mar Vermelho|Mer Rouge|Red Sea"
3,69,"EGY","Egypt",3,"Al Buhayrah","Muhafazah","Governorate","<U+0627><U+0644><U+0628><U+062D><U+064A><U+0631><U+0629>","Beheira|Behera|El Buhayra|Béhéra"
4,69,"EGY","Egypt",4,"Al Fayyum","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0641><U+064A><U+0648><U+0645>","El Faiyum|el Fayoum|Faium|Faiyum|Fayum|Fayoum|Fayyum"
5,69,"EGY","Egypt",5,"Al Gharbiyah","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+063A><U+0631><U+0628><U+064A><U+0629>","al-Garbiyah|El Gharbiya|Garbia|Gharbieh|Gharbiya|Gharbia"
6,69,"EGY","Egypt",6,"Al Iskandariyah","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0625><U+0633><U+0643><U+0646><U+062F><U+0631><U+064A><U+0629>","Alexandria|Alexandrie|El Iskandariya"
7,69,"EGY","Egypt",7,"Al Isma`iliyah","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0625><U+0633><U+0645><U+0627><U+0639><U+064A><U+0644><U+064A><U+0629>","As Ismailiyah|Ismailia|Ismaïlia|Isma'iliya"
8,69,"EGY","Egypt",8,"Al Jizah","Muhafazah","Governorate",NA,"El Giza|El Gizah|Gizeh|Giza|Guizèh"
9,69,"EGY","Egypt",9,"Al Minufiyah","Muhafazah","Governorate","<U+0645><U+062D><U+0627><U+0641><U+0638><U+0629> <U+0627><U+0644><U+0645><U+0646><U+0648><U+0641><U+064A><U+0629>","Menoufieh|Menufia|Menufiya|Minufiya|Munufia|Menoufia|Minufia"
10,69,"EGY","Egypt",10,"Al Minya","Muhafazah","Governorate",NA,"Minia|Minieh|Menia|Minya"
11,69,"EGY","Egypt",11,"Al Qahirah","Muhafazah","Governorate",NA,"Cairo|El Cairo|El Qahira|Le Caire"
