"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,87,"GHA","Ghana",1,"Ashanti","Region","Region",NA,NA
2,87,"GHA","Ghana",2,"Brong Ahafo","Region","Region",NA,NA
3,87,"GHA","Ghana",3,"Central","Region","Region",NA,NA
4,87,"GHA","Ghana",4,"Eastern","Region","Region",NA,NA
5,87,"GHA","Ghana",5,"Greater Accra","Region","Region",NA,NA
6,87,"GHA","Ghana",6,"Northern","Region","Region",NA,NA
7,87,"GHA","Ghana",7,"Upper East","Region","Region",NA,NA
8,87,"GHA","Ghana",8,"Upper West","Region","Region",NA,NA
9,87,"GHA","Ghana",9,"Volta","Region","Region",NA,NA
10,87,"GHA","Ghana",10,"Western","Region","Region",NA,NA
