"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,84,"GMB","Gambia",1,"Banjul",1,"Banjul","District","District",NA,NA
2,84,"GMB","Gambia",1,"Banjul",2,"Kanifing","District","District",NA,"Kanifing|K.M.C.|K.U.D.C."
3,84,"GMB","Gambia",2,"Lower River",3,"Jarra Central","District","District",NA,NA
4,84,"GMB","Gambia",2,"Lower River",4,"Jarra East","District","District",NA,NA
5,84,"GMB","Gambia",2,"Lower River",5,"Jarra West","District","District",NA,NA
6,84,"GMB","Gambia",2,"Lower River",6,"Kiang Central","District","District",NA,NA
7,84,"GMB","Gambia",2,"Lower River",7,"Kiang East","District","District",NA,NA
8,84,"GMB","Gambia",2,"Lower River",8,"Kiang West","District","District",NA,NA
9,84,"GMB","Gambia",3,"Maccarthy Island",9,"Fulladu West","District","District",NA,NA
10,84,"GMB","Gambia",3,"Maccarthy Island",10,"Janjanbureh","District","District",NA,"Janjanbureh|Georgetown|Janjangburreh"
11,84,"GMB","Gambia",3,"Maccarthy Island",11,"Lower Saloum","District","District",NA,NA
12,84,"GMB","Gambia",3,"Maccarthy Island",12,"Niamina Dankunku","District","District",NA,NA
13,84,"GMB","Gambia",3,"Maccarthy Island",13,"Niamina East","District","District",NA,NA
14,84,"GMB","Gambia",3,"Maccarthy Island",14,"Niamina West","District","District",NA,NA
15,84,"GMB","Gambia",3,"Maccarthy Island",15,"Niani","District","District",NA,NA
16,84,"GMB","Gambia",3,"Maccarthy Island",16,"Nianija","District","District",NA,NA
17,84,"GMB","Gambia",3,"Maccarthy Island",17,"Sami","District","District",NA,NA
18,84,"GMB","Gambia",3,"Maccarthy Island",18,"Upper Saloum","District","District",NA,NA
19,84,"GMB","Gambia",4,"North Bank",19,"Central Baddibu","District","District",NA,NA
20,84,"GMB","Gambia",4,"North Bank",20,"Jokadu","District","District",NA,NA
21,84,"GMB","Gambia",4,"North Bank",21,"Lower Baddibu","District","District",NA,NA
22,84,"GMB","Gambia",4,"North Bank",22,"Lower Nuimi","District","District",NA,NA
23,84,"GMB","Gambia",4,"North Bank",23,"Upper Baddibu","District","District",NA,NA
24,84,"GMB","Gambia",4,"North Bank",24,"Upper Nuimi","District","District",NA,NA
25,84,"GMB","Gambia",5,"Upper River",25,"Fulladu East","District","District",NA,NA
26,84,"GMB","Gambia",5,"Upper River",26,"Kantora","District","District",NA,NA
27,84,"GMB","Gambia",5,"Upper River",27,"Sandu","District","District",NA,NA
28,84,"GMB","Gambia",5,"Upper River",28,"Wuli","District","District",NA,NA
29,84,"GMB","Gambia",6,"Western",29,"Foni Bintang Karanai","District","District",NA,NA
30,84,"GMB","Gambia",6,"Western",30,"Foni Bondali","District","District",NA,NA
31,84,"GMB","Gambia",6,"Western",31,"Foni Brefet","District","District",NA,NA
32,84,"GMB","Gambia",6,"Western",32,"Foni Jarrol","District","District",NA,NA
33,84,"GMB","Gambia",6,"Western",33,"Foni Kansala","District","District",NA,NA
34,84,"GMB","Gambia",6,"Western",34,"Kombo Central","District","District",NA,NA
35,84,"GMB","Gambia",6,"Western",35,"Kombo East","District","District",NA,NA
36,84,"GMB","Gambia",6,"Western",36,"Kombo Saint Mary","District","District",NA,"Saint Mary|St Mary|Kombo|Kombo North|Kombo Saint Mary"
37,84,"GMB","Gambia",6,"Western",37,"Kombo South","District","District",NA,NA
