"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,129,"LIE","Liechtenstein",1,"Balzers","Gemeinden","Commune",NA,NA
2,129,"LIE","Liechtenstein",2,"Eschen","Gemeinden","Commune",NA,NA
3,129,"LIE","Liechtenstein",3,"Gamprin","Gemeinden","Commune",NA,NA
4,129,"LIE","Liechtenstein",4,"Mauren","Gemeinden","Commune",NA,NA
5,129,"LIE","Liechtenstein",5,"Planken","Gemeinden","Commune",NA,NA
6,129,"LIE","Liechtenstein",6,"Ruggell","Gemeinden","Commune",NA,NA
7,129,"LIE","Liechtenstein",7,"Schaan","Gemeinden","Commune",NA,NA
8,129,"LIE","Liechtenstein",8,"Schellenberg","Gemeinden","Commune",NA,NA
9,129,"LIE","Liechtenstein",9,"Triesenberg","Gemeinden","Commune",NA,NA
10,129,"LIE","Liechtenstein",10,"Triesen","Gemeinden","Commune",NA,NA
11,129,"LIE","Liechtenstein",11,"Valduz","Gemeinden","Commune",NA,NA
