"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,138,"MLI","Mali",1,"Bamako",1,"Bamako","Cercle","Circle",NA,NA
2,138,"MLI","Mali",2,"Gao",2,"Ansongo","Cercle","Circle",NA,NA
3,138,"MLI","Mali",2,"Gao",3,"Bourem","Cercle","Circle",NA,NA
4,138,"MLI","Mali",2,"Gao",4,"Gao","Cercle","Circle",NA,NA
5,138,"MLI","Mali",2,"Gao",5,"Ménaka","Cercle","Circle",NA,NA
6,138,"MLI","Mali",3,"Kayes",6,"Bafoulabé","Cercle","Circle",NA,"Bafoulabe"
7,138,"MLI","Mali",3,"Kayes",7,"Diéma","Cercle","Circle",NA,"Diema"
8,138,"MLI","Mali",3,"Kayes",8,"Kéniéba","Cercle","Circle",NA,"Kenieba"
9,138,"MLI","Mali",3,"Kayes",9,"Kayes","Cercle","Circle",NA,NA
10,138,"MLI","Mali",3,"Kayes",10,"Kita","Cercle","Circle",NA,NA
11,138,"MLI","Mali",3,"Kayes",11,"Nioro","Cercle","Circle",NA,"Nioro du Sahel"
12,138,"MLI","Mali",3,"Kayes",12,"Yélimané","Cercle","Circle",NA,"Yelimane"
13,138,"MLI","Mali",4,"Kidal",13,"Abeïbara","Cercle","Circle",NA,NA
14,138,"MLI","Mali",4,"Kidal",14,"Kidal","Cercle","Circle",NA,NA
15,138,"MLI","Mali",4,"Kidal",15,"Tessalit","Cercle","Circle",NA,NA
16,138,"MLI","Mali",4,"Kidal",16,"Tin-Essako","Cercle","Circle",NA,NA
17,138,"MLI","Mali",5,"Koulikoro",17,"Banamba","Cercle","Circle",NA,NA
18,138,"MLI","Mali",5,"Koulikoro",18,"Dioïla","Cercle","Circle",NA,NA
19,138,"MLI","Mali",5,"Koulikoro",19,"Kangaba","Cercle","Circle",NA,NA
20,138,"MLI","Mali",5,"Koulikoro",20,"Kati","Cercle","Circle",NA,NA
21,138,"MLI","Mali",5,"Koulikoro",21,"Kolokani","Cercle","Circle",NA,NA
22,138,"MLI","Mali",5,"Koulikoro",22,"Koulikoro","Cercle","Circle",NA,NA
23,138,"MLI","Mali",5,"Koulikoro",23,"Nara","Cercle","Circle",NA,NA
24,138,"MLI","Mali",6,"Mopti",24,"Bandiagara","Cercle","Circle",NA,NA
25,138,"MLI","Mali",6,"Mopti",25,"Bankass","Cercle","Circle",NA,NA
26,138,"MLI","Mali",6,"Mopti",26,"Djenné","Cercle","Circle",NA,"Djenne"
27,138,"MLI","Mali",6,"Mopti",27,"Douentza","Cercle","Circle",NA,NA
28,138,"MLI","Mali",6,"Mopti",28,"Koro","Cercle","Circle",NA,NA
29,138,"MLI","Mali",6,"Mopti",29,"Mopti","Cercle","Circle",NA,NA
30,138,"MLI","Mali",6,"Mopti",30,"Ténenkou","Cercle","Circle",NA,"Tenenkou"
31,138,"MLI","Mali",6,"Mopti",31,"Youwarou","Cercle","Circle",NA,"Youvarou"
32,138,"MLI","Mali",7,"Ségou",32,"Barouéli","Cercle","Circle",NA,"Baraoueli"
33,138,"MLI","Mali",7,"Ségou",33,"Bla","Cercle","Circle",NA,NA
34,138,"MLI","Mali",7,"Ségou",34,"Macina","Cercle","Circle",NA,NA
35,138,"MLI","Mali",7,"Ségou",35,"Niono","Cercle","Circle",NA,NA
36,138,"MLI","Mali",7,"Ségou",36,"Ségou","Cercle","Circle",NA,"Segou"
37,138,"MLI","Mali",7,"Ségou",37,"San","Cercle","Circle",NA,NA
38,138,"MLI","Mali",7,"Ségou",38,"Tominian","Cercle","Circle",NA,NA
39,138,"MLI","Mali",8,"Sikasso",39,"Bougouni","Cercle","Circle",NA,NA
40,138,"MLI","Mali",8,"Sikasso",40,"Kadiolo","Cercle","Circle",NA,NA
41,138,"MLI","Mali",8,"Sikasso",41,"Kolondiéba","Cercle","Circle",NA,"Kolondieba"
42,138,"MLI","Mali",8,"Sikasso",42,"Koutiala","Cercle","Circle",NA,NA
43,138,"MLI","Mali",8,"Sikasso",43,"Sikasso","Cercle","Circle",NA,NA
44,138,"MLI","Mali",8,"Sikasso",44,"Yanfolila","Cercle","Circle",NA,NA
45,138,"MLI","Mali",8,"Sikasso",45,"Yorosso","Cercle","Circle",NA,NA
46,138,"MLI","Mali",9,"Timbuktu",46,"Diré","Cercle","Circle",NA,NA
47,138,"MLI","Mali",9,"Timbuktu",47,"Goundam","Cercle","Circle",NA,NA
48,138,"MLI","Mali",9,"Timbuktu",48,"Gourma-Rharous","Cercle","Circle",NA,NA
49,138,"MLI","Mali",9,"Timbuktu",49,"Niafunké","Cercle","Circle",NA,"Niafunke"
50,138,"MLI","Mali",9,"Timbuktu",50,"Tombouctou","Cercle","Circle",NA,"Timbuktu"
