"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,138,"MLI","Mali",1,"Bamako",1,"Bamako",1,"Kalban-Coro",1,"Commune III",NA,"Commune","Commune"
2,138,"MLI","Mali",1,"Bamako",1,"Bamako",1,"Kalban-Coro",2,"Commune II",NA,"Commune","Commune"
3,138,"MLI","Mali",1,"Bamako",1,"Bamako",1,"Kalban-Coro",3,"Commune I",NA,"Commune","Commune"
4,138,"MLI","Mali",1,"Bamako",1,"Bamako",1,"Kalban-Coro",4,"Commune IV",NA,"Commune","Commune"
5,138,"MLI","Mali",1,"Bamako",1,"Bamako",1,"Kalban-Coro",5,"Commune VI",NA,"Commune","Commune"
6,138,"MLI","Mali",1,"Bamako",1,"Bamako",1,"Kalban-Coro",6,"Commune V",NA,"Commune","Commune"
7,138,"MLI","Mali",2,"Gao",2,"Ansongo",2,"Ansongo",7,"Ansongo",NA,"Commune","Commune"
8,138,"MLI","Mali",2,"Gao",2,"Ansongo",2,"Ansongo",8,"Bara",NA,"Commune","Commune"
9,138,"MLI","Mali",2,"Gao",2,"Ansongo",2,"Ansongo",9,"Bourra",NA,"Commune","Commune"
10,138,"MLI","Mali",2,"Gao",2,"Ansongo",2,"Ansongo",10,"Tin Hama",NA,"Commune","Commune"
11,138,"MLI","Mali",2,"Gao",2,"Ansongo",3,"Ouatagouna",11,"Ouattagouna",NA,"Commune","Commune"
12,138,"MLI","Mali",2,"Gao",2,"Ansongo",4,"Talataye",12,"Talataye",NA,"Commune","Commune"
13,138,"MLI","Mali",2,"Gao",2,"Ansongo",5,"Tessit",13,"Tessit",NA,"Commune","Commune"
14,138,"MLI","Mali",2,"Gao",3,"Bourem",6,"Almoustarat",14,"Tarkint",NA,"Commune","Commune"
15,138,"MLI","Mali",2,"Gao",3,"Bourem",7,"Bamba",15,"Bamba-Bou","Bamba","Commune","Commune"
16,138,"MLI","Mali",2,"Gao",3,"Bourem",8,"Bourem",16,"Bourem",NA,"Commune","Commune"
