"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,163,"NGA","Nigeria",1,"Abia","State","State",NA,NA
2,163,"NGA","Nigeria",2,"Adamawa","State","State",NA,NA
3,163,"NGA","Nigeria",3,"Akwa Ibom","State","State",NA,NA
4,163,"NGA","Nigeria",4,"Anambra","State","State",NA,NA
5,163,"NGA","Nigeria",5,"Bauchi","State","State",NA,NA
6,163,"NGA","Nigeria",6,"Bayelsa","State","State",NA,NA
7,163,"NGA","Nigeria",7,"Benue","State","State",NA,NA
8,163,"NGA","Nigeria",8,"Borno","State","State",NA,NA
9,163,"NGA","Nigeria",9,"Cross River","State","State",NA,NA
10,163,"NGA","Nigeria",10,"Delta","State","State",NA,NA
11,163,"NGA","Nigeria",11,"Ebonyi","State","State",NA,NA
12,163,"NGA","Nigeria",12,"Edo","State","State",NA,NA
13,163,"NGA","Nigeria",13,"Ekiti","State","State",NA,NA
14,163,"NGA","Nigeria",14,"Enugu","State","State",NA,NA
15,163,"NGA","Nigeria",15,"Federal Capital Territory","State","State",NA,"Abuja"
16,163,"NGA","Nigeria",16,"Gombe","State","State",NA,NA
17,163,"NGA","Nigeria",17,"Imo","State","State",NA,NA
18,163,"NGA","Nigeria",18,"Jigawa","State","State",NA,NA
19,163,"NGA","Nigeria",19,"Kaduna","State","State",NA,NA
20,163,"NGA","Nigeria",20,"Kano","State","State",NA,NA
21,163,"NGA","Nigeria",21,"Katsina","State","State",NA,NA
22,163,"NGA","Nigeria",22,"Kebbi","State","State",NA,NA
23,163,"NGA","Nigeria",23,"Kogi","State","State",NA,NA
24,163,"NGA","Nigeria",24,"Kwara","State","State",NA,NA
25,163,"NGA","Nigeria",25,"Lagos","State","State",NA,NA
26,163,"NGA","Nigeria",26,"Nassarawa","State","State",NA,NA
27,163,"NGA","Nigeria",27,"Niger","State","State",NA,NA
28,163,"NGA","Nigeria",28,"Ogun","State","State",NA,NA
29,163,"NGA","Nigeria",29,"Ondo","State","State",NA,NA
30,163,"NGA","Nigeria",30,"Osun","State","State",NA,NA
31,163,"NGA","Nigeria",31,"Oyo","State","State",NA,NA
32,163,"NGA","Nigeria",32,"Plateau","State","State",NA,NA
33,163,"NGA","Nigeria",33,"Rivers","State","State",NA,NA
34,163,"NGA","Nigeria",34,"Sokoto","State","State",NA,NA
35,163,"NGA","Nigeria",35,"Taraba","State","State",NA,NA
36,163,"NGA","Nigeria",36,"Water body","Water body","Water body",NA,NA
37,163,"NGA","Nigeria",37,"Yobe","State","State",NA,NA
38,163,"NGA","Nigeria",38,"Zamfara","State","State",NA,NA
