"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,163,"NGA","Nigeria",1,"Abia",1,"Aba North","Local Authority","Local Authority",NA,NA
2,163,"NGA","Nigeria",1,"Abia",2,"Aba South","Local Authority","Local Authority",NA,NA
3,163,"NGA","Nigeria",1,"Abia",3,"Arochukw","Local Authority","Local Authority",NA,"Arochukwu"
4,163,"NGA","Nigeria",1,"Abia",4,"Bende","Local Authority","Local Authority",NA,NA
5,163,"NGA","Nigeria",1,"Abia",5,"Ikwuano","Local Authority","Local Authority",NA,NA
6,163,"NGA","Nigeria",1,"Abia",6,"Isiala Ngwa North","Local Authority","Local Authority",NA,NA
7,163,"NGA","Nigeria",1,"Abia",7,"Isiala Ngwa South","Local Authority","Local Authority",NA,NA
8,163,"NGA","Nigeria",1,"Abia",8,"Isuikwua","Local Authority","Local Authority",NA,"Isuikwuato"
9,163,"NGA","Nigeria",1,"Abia",9,"Oboma Ngwa","Local Authority","Local Authority",NA,NA
10,163,"NGA","Nigeria",1,"Abia",10,"Ohafia Abia","Local Authority","Local Authority",NA,"Ohafia"
11,163,"NGA","Nigeria",1,"Abia",11,"Osisioma Ngwa","Local Authority","Local Authority",NA,NA
12,163,"NGA","Nigeria",1,"Abia",12,"Ugwunagbo","Local Authority","Local Authority",NA,NA
13,163,"NGA","Nigeria",1,"Abia",13,"Ukwa East","Local Authority","Local Authority",NA,NA
14,163,"NGA","Nigeria",1,"Abia",14,"Ukwa West","Local Authority","Local Authority",NA,NA
15,163,"NGA","Nigeria",1,"Abia",15,"Umu-Nneochi","Local Authority","Local Authority",NA,NA
16,163,"NGA","Nigeria",1,"Abia",16,"Umuahia North","Local Authority","Local Authority",NA,NA
17,163,"NGA","Nigeria",1,"Abia",17,"Umuahia South","Local Authority","Local Authority",NA,NA
18,163,"NGA","Nigeria",2,"Adamawa",18,"Demsa","Local Authority","Local Authority",NA,NA
19,163,"NGA","Nigeria",2,"Adamawa",19,"Fufore","Local Authority","Local Authority",NA,NA
20,163,"NGA","Nigeria",2,"Adamawa",20,"Ganye","Local Authority","Local Authority",NA,NA
21,163,"NGA","Nigeria",2,"Adamawa",21,"Girie","Local Authority","Local Authority",NA,NA
22,163,"NGA","Nigeria",2,"Adamawa",22,"Gombi","Local Authority","Local Authority",NA,NA
23,163,"NGA","Nigeria",2,"Adamawa",23,"Guyuk","Local Authority","Local Authority",NA,NA
24,163,"NGA","Nigeria",2,"Adamawa",24,"Hong","Local Authority","Local Authority",NA,NA
25,163,"NGA","Nigeria",2,"Adamawa",25,"Jada","Local Authority","Local Authority",NA,NA
26,163,"NGA","Nigeria",2,"Adamawa",26,"Lamurde","Local Authority","Local Authority",NA,NA
27,163,"NGA","Nigeria",2,"Adamawa",27,"Madagali","Local Authority","Local Authority",NA,NA
28,163,"NGA","Nigeria",2,"Adamawa",28,"Maiha","Local Authority","Local Authority",NA,NA
29,163,"NGA","Nigeria",2,"Adamawa",29,"Mayo-Bel","Local Authority","Local Authority",NA,"Mayo-Belwa"
30,163,"NGA","Nigeria",2,"Adamawa",30,"Michika","Local Authority","Local Authority",NA,NA
31,163,"NGA","Nigeria",2,"Adamawa",31,"Mubi North","Local Authority","Local Authority",NA,NA
32,163,"NGA","Nigeria",2,"Adamawa",32,"Mubi South","Local Authority","Local Authority",NA,NA
33,163,"NGA","Nigeria",2,"Adamawa",33,"Numan","Local Authority","Local Authority",NA,NA
34,163,"NGA","Nigeria",2,"Adamawa",34,"Shelleng","Local Authority","Local Authority",NA,NA
35,163,"NGA","Nigeria",2,"Adamawa",35,"Song","Local Authority","Local Authority",NA,NA
36,163,"NGA","Nigeria",2,"Adamawa",36,"Teungo","Local Authority","Local Authority",NA,NA
37,163,"NGA","Nigeria",2,"Adamawa",37,"Yola North","Local Authority","Local Authority",NA,NA
38,163,"NGA","Nigeria",2,"Adamawa",38,"Yola South","Local Authority","Local Authority",NA,NA
39,163,"NGA","Nigeria",3,"Akwa Ibom",39,"Abak","Local Authority","Local Authority",NA,NA
40,163,"NGA","Nigeria",3,"Akwa Ibom",40,"Eastern Obolo","Local Authority","Local Authority",NA,NA
41,163,"NGA","Nigeria",3,"Akwa Ibom",41,"Eket","Local Authority","Local Authority",NA,NA
42,163,"NGA","Nigeria",3,"Akwa Ibom",42,"Esit Eket","Local Authority","Local Authority",NA,NA
43,163,"NGA","Nigeria",3,"Akwa Ibom",43,"Essien-U","Local Authority","Local Authority",NA,"Essien Udim"
44,163,"NGA","Nigeria",3,"Akwa Ibom",44,"EtimEkpo","Local Authority","Local Authority",NA,"Etim Ekpo"
45,163,"NGA","Nigeria",3,"Akwa Ibom",45,"Etinan","Local Authority","Local Authority",NA,NA
46,163,"NGA","Nigeria",3,"Akwa Ibom",46,"Ibeno","Local Authority","Local Authority",NA,NA
