"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,156,"NRU","Nauru",1,"Aiwo","District","District",NA,NA
2,156,"NRU","Nauru",2,"Anabar","District","District",NA,NA
3,156,"NRU","Nauru",3,"Anetan","District","District",NA,NA
4,156,"NRU","Nauru",4,"Anibare","District","District",NA,NA
5,156,"NRU","Nauru",5,"Baiti","District","District",NA,NA
6,156,"NRU","Nauru",6,"Boe","District","District",NA,NA
7,156,"NRU","Nauru",7,"Buada","District","District",NA,NA
8,156,"NRU","Nauru",8,"Denigomodu","District","District",NA,NA
9,156,"NRU","Nauru",9,"Ewa","District","District",NA,NA
10,156,"NRU","Nauru",10,"Ijuw","District","District",NA,NA
11,156,"NRU","Nauru",11,"Meneng","District","District",NA,NA
12,156,"NRU","Nauru",12,"Nibok","District","District",NA,NA
13,156,"NRU","Nauru",13,"Uaboe","District","District",NA,NA
14,156,"NRU","Nauru",14,"Yaren","District","District",NA,NA
