"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera","District","District",NA,NA
2,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke","District","District",NA,NA
3,189,"RWA","Rwanda",1,"Amajyaruguru",3,"Gicumbi","District","District",NA,NA
4,189,"RWA","Rwanda",1,"Amajyaruguru",4,"Musanze","District","District",NA,NA
5,189,"RWA","Rwanda",1,"Amajyaruguru",5,"Rulindo","District","District",NA,NA
6,189,"RWA","Rwanda",2,"Amajyepfo",6,"Gisagara","District","District",NA,NA
7,189,"RWA","Rwanda",2,"Amajyepfo",7,"Huye","District","District",NA,NA
8,189,"RWA","Rwanda",2,"Amajyepfo",8,"Kamonyi","District","District",NA,NA
9,189,"RWA","Rwanda",2,"Amajyepfo",9,"Muhanga","District","District",NA,NA
10,189,"RWA","Rwanda",2,"Amajyepfo",10,"Nyamagabe","District","District",NA,NA
11,189,"RWA","Rwanda",2,"Amajyepfo",11,"Nyanza","District","District",NA,NA
12,189,"RWA","Rwanda",2,"Amajyepfo",12,"Nyaruguru","District","District",NA,NA
13,189,"RWA","Rwanda",2,"Amajyepfo",13,"Ruhango","District","District",NA,NA
14,189,"RWA","Rwanda",3,"Iburasirazuba",14,"Bugesera","District","District",NA,NA
15,189,"RWA","Rwanda",3,"Iburasirazuba",15,"Gatsibo","District","District",NA,NA
16,189,"RWA","Rwanda",3,"Iburasirazuba",16,"Kayonza","District","District",NA,NA
17,189,"RWA","Rwanda",3,"Iburasirazuba",17,"Kirehe","District","District",NA,NA
18,189,"RWA","Rwanda",3,"Iburasirazuba",18,"Ngoma","District","District",NA,NA
19,189,"RWA","Rwanda",3,"Iburasirazuba",19,"Nyagatare","District","District",NA,NA
20,189,"RWA","Rwanda",3,"Iburasirazuba",20,"Rwamagana","District","District",NA,NA
21,189,"RWA","Rwanda",4,"Iburengerazuba",21,"Karongi","District","District",NA,NA
22,189,"RWA","Rwanda",4,"Iburengerazuba",22,"Ngororero","District","District",NA,NA
23,189,"RWA","Rwanda",4,"Iburengerazuba",23,"Nyabihu","District","District",NA,NA
24,189,"RWA","Rwanda",4,"Iburengerazuba",24,"Nyamasheke","District","District",NA,NA
25,189,"RWA","Rwanda",4,"Iburengerazuba",25,"Rubavu","District","District",NA,NA
26,189,"RWA","Rwanda",4,"Iburengerazuba",26,"Rusizi","District","District",NA,NA
27,189,"RWA","Rwanda",4,"Iburengerazuba",27,"Rutsiro","District","District",NA,NA
28,189,"RWA","Rwanda",5,"Umujyi wa Kigali",28,"Gasabo","District","District",NA,NA
29,189,"RWA","Rwanda",5,"Umujyi wa Kigali",29,"Kicukiro","District","District",NA,NA
30,189,"RWA","Rwanda",5,"Umujyi wa Kigali",30,"Nyarugenge","District","District",NA,NA
