"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",1,"Bungwe","Sector","Sector",NA,NA
2,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro","Sector","Sector",NA,NA
3,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",3,"Cyanika","Sector","Sector",NA,NA
4,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",4,"Cyeru","Sector","Sector",NA,NA
5,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",5,"Gahunga","Sector","Sector",NA,NA
6,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",6,"Gatebe","Sector","Sector",NA,NA
7,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",7,"Gitovu","Sector","Sector",NA,NA
8,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",8,"Kagogo","Sector","Sector",NA,NA
9,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",9,"Kinoni","Sector","Sector",NA,NA
10,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",10,"Kinyababa","Sector","Sector",NA,NA
11,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",11,"Kivuye","Sector","Sector",NA,NA
12,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",12,"Nemba","Sector","Sector",NA,NA
13,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",13,"Rugarama","Sector","Sector",NA,NA
14,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",14,"Rugengabari","Sector","Sector",NA,NA
15,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",15,"Ruhunde","Sector","Sector",NA,NA
16,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",16,"Rusarabuye","Sector","Sector",NA,NA
17,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",17,"Rwerere","Sector","Sector",NA,NA
18,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",18,"Busengo","Sector","Sector",NA,NA
19,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",19,"Coko","Sector","Sector",NA,NA
20,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",20,"Cyabingo","Sector","Sector",NA,NA
21,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",21,"Gakenke","Sector","Sector",NA,NA
22,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",22,"Gashenyi","Sector","Sector",NA,NA
23,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",23,"Janja","Sector","Sector",NA,NA
24,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",24,"Kamubuga","Sector","Sector",NA,NA
25,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",25,"Karambo","Sector","Sector",NA,NA
26,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",26,"Kivuruga","Sector","Sector",NA,NA
27,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",27,"Mataba","Sector","Sector",NA,NA
28,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",28,"Minazi","Sector","Sector",NA,NA
29,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke",29,"Mugunga","Sector","Sector",NA,NA
