"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",1,"Bungwe",1,"Bungwe",NA,"Cell","Cell"
2,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",1,"Bungwe",2,"Bushenya",NA,"Cell","Cell"
3,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",1,"Bungwe",3,"Mudugari",NA,"Cell","Cell"
4,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",1,"Bungwe",4,"Tumba",NA,"Cell","Cell"
5,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",5,"Gatsibo",NA,"Cell","Cell"
6,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",6,"Mubuga",NA,"Cell","Cell"
7,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",7,"Muhotora",NA,"Cell","Cell"
8,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",8,"Nyamicucu",NA,"Cell","Cell"
9,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",2,"Butaro",9,"Rusumo",NA,"Cell","Cell"
10,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",3,"Cyanika",10,"Gasiza",NA,"Cell","Cell"
11,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",3,"Cyanika",11,"Gisovu",NA,"Cell","Cell"
12,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",3,"Cyanika",12,"Kabyiniro",NA,"Cell","Cell"
13,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",3,"Cyanika",13,"Kagitega",NA,"Cell","Cell"
14,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",3,"Cyanika",14,"Kamanyana",NA,"Cell","Cell"
15,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",3,"Cyanika",15,"Nyagahinga",NA,"Cell","Cell"
16,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",4,"Cyeru",16,"Butare",NA,"Cell","Cell"
17,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",4,"Cyeru",17,"Ndongozi",NA,"Cell","Cell"
18,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",4,"Cyeru",18,"Ruyange",NA,"Cell","Cell"
19,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",5,"Gahunga",19,"Buramba",NA,"Cell","Cell"
20,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",5,"Gahunga",20,"Gisizi",NA,"Cell","Cell"
21,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",5,"Gahunga",21,"Kidakama",NA,"Cell","Cell"
22,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",5,"Gahunga",22,"Nyangwe",NA,"Cell","Cell"
23,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",5,"Gahunga",23,"Rwasa",NA,"Cell","Cell"
24,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",6,"Gatebe",24,"Gabiro",NA,"Cell","Cell"
25,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",6,"Gatebe",25,"Musenda",NA,"Cell","Cell"
26,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",6,"Gatebe",26,"Rwambogo",NA,"Cell","Cell"
27,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",6,"Gatebe",27,"Rwasa",NA,"Cell","Cell"
28,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",7,"Gitovu",28,"Mariba",NA,"Cell","Cell"
29,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",7,"Gitovu",29,"Musasa",NA,"Cell","Cell"
30,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",7,"Gitovu",30,"Runoga",NA,"Cell","Cell"
31,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",8,"Kagogo",31,"Kabaya",NA,"Cell","Cell"
32,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",8,"Kagogo",32,"Kayenzi",NA,"Cell","Cell"
33,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",8,"Kagogo",33,"Kiringa",NA,"Cell","Cell"
34,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",8,"Kagogo",34,"Nyamabuye",NA,"Cell","Cell"
35,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera",9,"Kinoni",35,"Gafuka",NA,"Cell","Cell"
