"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,226,"TJK","Tajikistan",1,"Dushanbe",1,"Rudaki",1,"n.a. ( 162)",NA,NA,NA,NA
2,226,"TJK","Tajikistan",1,"Dushanbe",1,"Rudaki",2,"n.a. ( 171)",NA,NA,NA,NA
3,226,"TJK","Tajikistan",1,"Dushanbe",1,"Rudaki",3,"n.a. ( 183)",NA,NA,NA,NA
4,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",2,"Darvoz",4,"n.a. ( 147)",NA,NA,NA,NA
5,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",2,"Darvoz",5,"n.a. ( 148)",NA,NA,NA,NA
6,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",2,"Darvoz",6,"n.a. ( 173)",NA,NA,NA,NA
7,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",2,"Darvoz",7,"n.a. ( 193)",NA,NA,NA,NA
8,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",3,"Ishkoshim",8,"n.a. ( 341)",NA,NA,NA,NA
9,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",3,"Ishkoshim",9,"n.a. ( 351)",NA,NA,NA,NA
10,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",3,"Ishkoshim",10,"n.a. ( 357)",NA,NA,NA,NA
11,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",3,"Ishkoshim",11,"n.a. ( 358)",NA,NA,NA,NA
12,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",3,"Ishkoshim",12,"n.a. ( 359)",NA,NA,NA,NA
13,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",3,"Ishkoshim",13,"n.a. ( 360)",NA,NA,NA,NA
14,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",4,"Murghob",14,"n.a. ( 113)",NA,NA,NA,NA
15,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",4,"Murghob",15,"n.a. ( 127)",NA,NA,NA,NA
16,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",4,"Murghob",16,"n.a. ( 200)",NA,NA,NA,NA
17,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",4,"Murghob",17,"n.a. ( 234)",NA,NA,NA,NA
18,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",4,"Murghob",18,"n.a. ( 284)",NA,NA,NA,NA
19,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",4,"Murghob",19,"n.a. ( 91)",NA,NA,NA,NA
20,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",5,"Roshtqala",20,"n.a. ( 327)",NA,NA,NA,NA
21,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",5,"Roshtqala",21,"n.a. ( 330)",NA,NA,NA,NA
22,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",5,"Roshtqala",22,"n.a. ( 336)",NA,NA,NA,NA
23,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",5,"Roshtqala",23,"n.a. ( 342)",NA,NA,NA,NA
24,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",5,"Roshtqala",24,"n.a. ( 343)",NA,NA,NA,NA
25,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",5,"Roshtqala",25,"n.a. ( 344)",NA,NA,NA,NA
26,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",6,"Rushon",26,"n.a. ( 188)",NA,NA,NA,NA
27,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",6,"Rushon",27,"n.a. ( 222)",NA,NA,NA,NA
28,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",6,"Rushon",28,"n.a. ( 227)",NA,NA,NA,NA
29,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",6,"Rushon",29,"n.a. ( 243)",NA,NA,NA,NA
30,226,"TJK","Tajikistan",2,"Gorno-Badakhshan",6,"Rushon",30,"n.a. ( 249)",NA,NA,NA,NA
