"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,234,"TUN","Tunisia",1,"Ariana","Wilayat","Governorate",NA,"Al Aryianah|L'Ariana|Tunis Ariana|Al Aryanah"
2,234,"TUN","Tunisia",2,"Béja","Wilayat","Governorate",NA,"Bajah|Béja"
3,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)","Wilayat","Governorate",NA,"Bin `Arus|Ben Arous|Tunis Ben Arous"
4,234,"TUN","Tunisia",4,"Bizerte","Wilayat","Governorate",NA,"BanzartBanzart|Bensert|Binzart|Biserta|Bizerta"
5,234,"TUN","Tunisia",5,"Gabès","Wilayat","Governorate",NA,"Qabis|Gabas"
6,234,"TUN","Tunisia",6,"Gafsa","Wilayat","Governorate",NA,"Gaf<U+1E63>ah|Qaf<U+1E63>ah"
7,234,"TUN","Tunisia",7,"Jendouba","Wilayat","Governorate",NA,"Jendoûbah|Jenduba|Jondouba|Jundubah|Souk-El-Arba|Dschunduba"
8,234,"TUN","Tunisia",8,"Kairouan","Wilayat","Governorate",NA,"Al Qayrawan|Al Qirwan|Qairouân|Kairuã|Kairouwan"
9,234,"TUN","Tunisia",9,"Kassérine","Wilayat","Governorate",NA,"Al Qa<U+1E63>rayn|Al Ga<U+1E63>rin|Al Qasrin|Kasserim|Al Qa<U+1E63>rayn|Sbeitla"
10,234,"TUN","Tunisia",10,"Kebili","Wilayat","Governorate",NA,"Kebilli|Qbili|Qibili"
11,234,"TUN","Tunisia",11,"Le Kef","Wilayat","Governorate",NA,"Al Kaf|El Kef|Kaf|Kef"
12,234,"TUN","Tunisia",12,"Médenine","Wilayat","Governorate",NA,"Madaniyin|Madanin|Medenin"
13,234,"TUN","Tunisia",13,"Mahdia","Wilayat","Governorate",NA,"Al Madiyah|Al Mahdiyya|Mahdiâh"
14,234,"TUN","Tunisia",14,"Manubah","Wilayat","Governorate",NA,NA
15,234,"TUN","Tunisia",15,"Monastir","Wilayat","Governorate",NA,"Al Munastir"
16,234,"TUN","Tunisia",16,"Nabeul","Wilayat","Governorate",NA,"Cap Bon|Nabil|Nabol|Nabul"
17,234,"TUN","Tunisia",17,"Sfax","Wilayat","Governorate",NA,"Safaqis|<U+1E62>afaqis|<U+1E62>faqis"
18,234,"TUN","Tunisia",18,"Sidi Bou Zid","Wilayat","Governorate",NA,"Sidi Bu Zayd|Qamudah|Sidi Boû Sa`îd|Sidi Buzid|Sidi Bu Sa`id|Sidi Bu Zayd|Sidi Bu Said"
19,234,"TUN","Tunisia",19,"Siliana","Wilayat","Governorate",NA,"Silianah|Silyanah"
20,234,"TUN","Tunisia",20,"Sousse","Wilayat","Governorate",NA,"Sousa|Sussa|Susse|Susa|Susah"
21,234,"TUN","Tunisia",21,"Tataouine","Wilayat","Governorate",NA,"Foum Tataouine|Tatahouine|Tatuine|Tatawin"
22,234,"TUN","Tunisia",22,"Tozeur","Wilayat","Governorate",NA,"Tawzar|Touzar|Tuzar"
23,234,"TUN","Tunisia",23,"Tunis","Wilayat","Governorate",NA,"Tounis|Tunis City|Tunus|Túnez|Túnis|Tunisi|Tunis"
24,234,"TUN","Tunisia",24,"Zaghouan","Wilayat","Governorate",NA,"Tunis South|Zachouan|Zaguan|Zaghwan|Saghuan"
