"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,234,"TUN","Tunisia",1,"Ariana",1,"Ariana Médina","Delegation","Delegation",NA,"Ariana Medina"
2,234,"TUN","Tunisia",1,"Ariana",2,"Ettadhamen","Delegation","Delegation",NA,NA
3,234,"TUN","Tunisia",1,"Ariana",3,"Kalaat El Andalous","Delegation","Delegation",NA,NA
4,234,"TUN","Tunisia",1,"Ariana",4,"Mnihla","Delegation","Delegation",NA,NA
5,234,"TUN","Tunisia",1,"Ariana",5,"Raoued","Delegation","Delegation",NA,NA
6,234,"TUN","Tunisia",1,"Ariana",6,"Sebkhet Ariana","Water body","Water Body",NA,NA
7,234,"TUN","Tunisia",1,"Ariana",7,"Sidi Thabet","Delegation","Delegation",NA,NA
8,234,"TUN","Tunisia",1,"Ariana",8,"Soukra","Delegation","Delegation",NA,NA
9,234,"TUN","Tunisia",2,"Béja",9,"Amdoun","Delegation","Delegation",NA,NA
10,234,"TUN","Tunisia",2,"Béja",10,"Béja Nord","Delegation","Delegation",NA,NA
11,234,"TUN","Tunisia",2,"Béja",11,"Béja Sud","Delegation","Delegation",NA,NA
12,234,"TUN","Tunisia",2,"Béja",12,"Goubellat","Delegation","Delegation",NA,NA
13,234,"TUN","Tunisia",2,"Béja",13,"Mejez El Bab","Delegation","Delegation",NA,NA
14,234,"TUN","Tunisia",2,"Béja",14,"Nefza","Delegation","Delegation",NA,NA
15,234,"TUN","Tunisia",2,"Béja",15,"Téboursouk","Delegation","Delegation",NA,"Teboursouk"
16,234,"TUN","Tunisia",2,"Béja",16,"Testour","Delegation","Delegation",NA,NA
17,234,"TUN","Tunisia",2,"Béja",17,"Thibar","Delegation","Delegation",NA,NA
18,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",18,"Ben Arous","Delegation","Delegation",NA,NA
19,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",19,"Boumhel","Delegation","Delegation",NA,NA
20,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",20,"El Mourouj","Delegation","Delegation",NA,NA
21,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",21,"Ezzahra","Delegation","Delegation",NA,NA
22,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",22,"Fouchana","Delegation","Delegation",NA,NA
23,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",23,"Hammam Chott","Delegation","Delegation",NA,NA
24,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",24,"Hammam Lif","Delegation","Delegation",NA,NA
25,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",25,"M'Hamdia","Delegation","Delegation",NA,NA
26,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)",26,"Mégrine","Delegation","Delegation",NA,"Megrine"
