"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,227,"TZA","Tanzania",1,"Arusha","Mkoa","Region",NA,NA
2,227,"TZA","Tanzania",2,"Dar-Es-Salaam","Mkoa","Region",NA,"Dar es Salaam"
3,227,"TZA","Tanzania",3,"Dodoma","Mkoa","Region",NA,NA
4,227,"TZA","Tanzania",4,"Iringa","Mkoa","Region",NA,NA
5,227,"TZA","Tanzania",5,"Kagera","Mkoa","Region",NA,NA
6,227,"TZA","Tanzania",6,"Kaskazini-Pemba","Mkoa","Region",NA,"Pemba North"
7,227,"TZA","Tanzania",7,"Kaskazini-Unguja","Mkoa","Region",NA,"Zanzibar North"
8,227,"TZA","Tanzania",8,"Kigoma","Mkoa","Region",NA,NA
9,227,"TZA","Tanzania",9,"Kilimanjaro","Mkoa","Region",NA,NA
10,227,"TZA","Tanzania",10,"Kusini-Pemba","Mkoa","Region",NA,"Pemba South"
11,227,"TZA","Tanzania",11,"Lindi","Mkoa","Region",NA,NA
12,227,"TZA","Tanzania",12,"Manyara","Mkoa","Region",NA,NA
13,227,"TZA","Tanzania",13,"Mara","Mkoa","Region",NA,NA
14,227,"TZA","Tanzania",14,"Mbeya","Mkoa","Region",NA,NA
15,227,"TZA","Tanzania",15,"Morogoro","Mkoa","Region",NA,NA
16,227,"TZA","Tanzania",16,"Mtwara","Mkoa","Region",NA,NA
17,227,"TZA","Tanzania",17,"Mwanza","Mkoa","Region",NA,NA
18,227,"TZA","Tanzania",18,"Pwani","Mkoa","Region",NA,NA
19,227,"TZA","Tanzania",19,"Rukwa","Mkoa","Region",NA,NA
20,227,"TZA","Tanzania",20,"Ruvuma","Mkoa","Region",NA,NA
21,227,"TZA","Tanzania",21,"Shinyanga","Mkoa","Region",NA,NA
22,227,"TZA","Tanzania",22,"Singida","Mkoa","Region",NA,NA
23,227,"TZA","Tanzania",23,"Tabora","Mkoa","Region",NA,NA
24,227,"TZA","Tanzania",24,"Tanga","Mkoa","Region",NA,NA
25,227,"TZA","Tanzania",25,"Zanzibar South and Central","Mkoa","Region",NA,"Kusini Unguja"
26,227,"TZA","Tanzania",26,"Zanzibar West","Mkoa","Region",NA,"Mjini-Magharibi"
