"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru","Wilaya","District",NA,NA
2,227,"TZA","Tanzania",1,"Arusha",2,"Arusha","Wilaya","District",NA,NA
3,227,"TZA","Tanzania",1,"Arusha",3,"Karatu","Wilaya","District",NA,NA
4,227,"TZA","Tanzania",1,"Arusha",4,"Monduli","Wilaya","District",NA,NA
5,227,"TZA","Tanzania",1,"Arusha",5,"Ngorongoro","Wilaya","District",NA,NA
6,227,"TZA","Tanzania",1,"Arusha",6,"Simanjiro","Wilaya","District",NA,NA
7,227,"TZA","Tanzania",2,"Dar-Es-Salaam",7,"Ilala","Wilaya","District",NA,NA
8,227,"TZA","Tanzania",2,"Dar-Es-Salaam",8,"Kinondoni","Wilaya","District",NA,NA
9,227,"TZA","Tanzania",2,"Dar-Es-Salaam",9,"Temeke","Wilaya","District",NA,NA
10,227,"TZA","Tanzania",3,"Dodoma",10,"Dodoma Rural","Wilaya","District",NA,NA
11,227,"TZA","Tanzania",3,"Dodoma",11,"Dodoma Urban","Wilaya","District",NA,NA
12,227,"TZA","Tanzania",3,"Dodoma",12,"Kondoa","Wilaya","District",NA,NA
13,227,"TZA","Tanzania",3,"Dodoma",13,"Kongwa","Wilaya","District",NA,NA
14,227,"TZA","Tanzania",3,"Dodoma",14,"Mpwapwa","Wilaya","District",NA,NA
15,227,"TZA","Tanzania",4,"Iringa",15,"Iringa Rural","Wilaya","District",NA,NA
16,227,"TZA","Tanzania",4,"Iringa",16,"Iringa Urban","Wilaya","District",NA,NA
17,227,"TZA","Tanzania",4,"Iringa",17,"Kilolo","Wilaya","District",NA,NA
18,227,"TZA","Tanzania",4,"Iringa",18,"Kilosa","Wilaya","District",NA,NA
19,227,"TZA","Tanzania",4,"Iringa",19,"Ludewa","Wilaya","District",NA,NA
20,227,"TZA","Tanzania",4,"Iringa",20,"Makete","Wilaya","District",NA,NA
21,227,"TZA","Tanzania",4,"Iringa",21,"Mufindi","Wilaya","District",NA,NA
22,227,"TZA","Tanzania",4,"Iringa",22,"Njombe","Wilaya","District",NA,NA
23,227,"TZA","Tanzania",5,"Kagera",23,"Biharamulo","Wilaya","District",NA,NA
24,227,"TZA","Tanzania",5,"Kagera",24,"Bukoba Rural","Wilaya","District",NA,NA
25,227,"TZA","Tanzania",5,"Kagera",25,"Bukoba Urban","Wilaya","District",NA,NA
26,227,"TZA","Tanzania",5,"Kagera",26,"Karagwe","Wilaya","District",NA,NA
27,227,"TZA","Tanzania",5,"Kagera",27,"Lake Victoria","Water body","Water body",NA,NA
