"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",1,"Akheri","Division","Division",NA,NA
2,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",2,"Bangata","Division","Division",NA,NA
3,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",3,"Bwawani","Division","Division",NA,NA
4,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",4,"IIkiding'a","Division","Division",NA,NA
5,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",5,"Kikatiti","Division","Division",NA,NA
6,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",6,"Kikwe","Division","Division",NA,NA
7,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",7,"Kimnyaki","Division","Division",NA,NA
8,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",8,"King'ori","Division","Division",NA,NA
9,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",9,"Kiranyi","Division","Division",NA,NA
10,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",10,"Kisongo","Division","Division",NA,NA
11,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",11,"langarini","Division","Division",NA,NA
12,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",12,"Leguruki","Division","Division",NA,NA
13,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",13,"Majiya Chai","Division","Division",NA,NA
14,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",14,"Makiba","Division","Division",NA,NA
15,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",15,"Maroroni","Division","Division",NA,NA
16,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",16,"Mateves","Division","Division",NA,NA
17,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",17,"Mbuguni","Division","Division",NA,NA
18,227,"TZA","Tanzania",1,"Arusha",1,"Arumeru",18,"Moivo","Division","Division",NA,NA
