"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,239,"UGA","Uganda",1,"Adjumani","District","District",NA,NA
2,239,"UGA","Uganda",2,"Apac","District","District",NA,NA
3,239,"UGA","Uganda",3,"Arua","District","District",NA,NA
4,239,"UGA","Uganda",4,"Bugiri","District","District",NA,NA
5,239,"UGA","Uganda",5,"Bundibugyo","District","District",NA,NA
6,239,"UGA","Uganda",6,"Bushenyi","District","District",NA,NA
7,239,"UGA","Uganda",7,"Busia","District","District",NA,NA
8,239,"UGA","Uganda",8,"Gulu","District","District",NA,NA
9,239,"UGA","Uganda",9,"Hoima","District","District",NA,NA
10,239,"UGA","Uganda",10,"Iganga","District","District",NA,NA
11,239,"UGA","Uganda",11,"Jinja","District","District",NA,NA
12,239,"UGA","Uganda",12,"Kabale","District","District",NA,NA
13,239,"UGA","Uganda",13,"Kabarole","District","District",NA,NA
14,239,"UGA","Uganda",14,"Kaberamaido","District","District",NA,NA
15,239,"UGA","Uganda",15,"Kalangala","District","District",NA,NA
16,239,"UGA","Uganda",16,"Kampala","District","District",NA,NA
17,239,"UGA","Uganda",17,"Kamuli","District","District",NA,NA
18,239,"UGA","Uganda",18,"Kamwenge","District","District",NA,NA
19,239,"UGA","Uganda",19,"Kanungu","District","District",NA,NA
20,239,"UGA","Uganda",20,"Kapchorwa","District","District",NA,NA
21,239,"UGA","Uganda",21,"Kasese","District","District",NA,NA
22,239,"UGA","Uganda",22,"Katakwi","District","District",NA,NA
23,239,"UGA","Uganda",23,"Kayunga","District","District",NA,NA
24,239,"UGA","Uganda",24,"Kibale","District","District",NA,"Kibaale"
25,239,"UGA","Uganda",25,"Kiboga","District","District",NA,NA
26,239,"UGA","Uganda",26,"Kisoro","District","District",NA,NA
27,239,"UGA","Uganda",27,"Kitgum","District","District",NA,NA
28,239,"UGA","Uganda",28,"Kotido","District","District",NA,NA
29,239,"UGA","Uganda",29,"Kumi","District","District",NA,NA
30,239,"UGA","Uganda",30,"Kyenjojo","District","District",NA,NA
31,239,"UGA","Uganda",31,"Lake Albert","Water body","Water body",NA,NA
32,239,"UGA","Uganda",32,"Lake Victoria","Water body","Water body",NA,NA
33,239,"UGA","Uganda",33,"Lira","District","District",NA,NA
34,239,"UGA","Uganda",34,"Luwero","District","District",NA,"Luweero"
35,239,"UGA","Uganda",35,"Masaka","District","District",NA,NA
36,239,"UGA","Uganda",36,"Masindi","District","District",NA,NA
37,239,"UGA","Uganda",37,"Mayuge","District","District",NA,NA
38,239,"UGA","Uganda",38,"Mbale","District","District",NA,NA
39,239,"UGA","Uganda",39,"Mbarara","District","District",NA,NA
40,239,"UGA","Uganda",40,"Moroto","District","District",NA,NA
41,239,"UGA","Uganda",41,"Moyo","District","District",NA,NA
42,239,"UGA","Uganda",42,"Mpigi","District","District",NA,NA
43,239,"UGA","Uganda",43,"Mubende","District","District",NA,NA
44,239,"UGA","Uganda",44,"Mukono","District","District",NA,NA
45,239,"UGA","Uganda",45,"Nakapiripirit","District","District",NA,NA
46,239,"UGA","Uganda",46,"Nakasongola","District","District",NA,NA
47,239,"UGA","Uganda",47,"Nebbi","District","District",NA,NA
48,239,"UGA","Uganda",48,"Ntungamo","District","District",NA,NA
49,239,"UGA","Uganda",49,"Pader","District","District",NA,NA
50,239,"UGA","Uganda",50,"Pallisa","District","District",NA,NA
51,239,"UGA","Uganda",51,"Rakai","District","District",NA,NA
52,239,"UGA","Uganda",52,"Rukungiri","District","District",NA,NA
53,239,"UGA","Uganda",53,"Sembabule","District","District",NA,NA
54,239,"UGA","Uganda",54,"Sironko","District","District",NA,NA
55,239,"UGA","Uganda",55,"Soroti","District","District",NA,NA
56,239,"UGA","Uganda",56,"Tororo","District","District",NA,NA
57,239,"UGA","Uganda",57,"Wakiso","District","District",NA,NA
58,239,"UGA","Uganda",58,"Yumbe","District","District",NA,NA
