"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo","County","County",NA,NA
2,239,"UGA","Uganda",2,"Apac",2,"Kole","County","County",NA,NA
3,239,"UGA","Uganda",2,"Apac",3,"Kwania","County","County",NA,NA
4,239,"UGA","Uganda",2,"Apac",4,"Maruzi","County","County",NA,NA
5,239,"UGA","Uganda",2,"Apac",5,"Oyam","County","County",NA,NA
6,239,"UGA","Uganda",3,"Arua",6,"Arua Municipality","County","County",NA,"Arua"
7,239,"UGA","Uganda",3,"Arua",7,"Ayivu","County","County",NA,NA
8,239,"UGA","Uganda",3,"Arua",8,"Koboko","County","County",NA,NA
9,239,"UGA","Uganda",3,"Arua",9,"Madi-Okollo","County","County",NA,NA
10,239,"UGA","Uganda",3,"Arua",10,"Maracha","County","County",NA,NA
11,239,"UGA","Uganda",3,"Arua",11,"Terego","County","County",NA,NA
12,239,"UGA","Uganda",3,"Arua",12,"Vurra","County","County",NA,NA
13,239,"UGA","Uganda",4,"Bugiri",13,"Bukooli","County","County",NA,NA
14,239,"UGA","Uganda",5,"Bundibugyo",14,"Bwamba","County","County",NA,NA
15,239,"UGA","Uganda",5,"Bundibugyo",15,"Ntoroko","County","County",NA,"Ntoroka"
16,239,"UGA","Uganda",6,"Bushenyi",16,"Buhweju","County","County",NA,NA
17,239,"UGA","Uganda",6,"Bushenyi",17,"Bunyaruguru","County","County",NA,NA
18,239,"UGA","Uganda",6,"Bushenyi",18,"Igara","County","County",NA,NA
19,239,"UGA","Uganda",6,"Bushenyi",19,"Ruhinda","County","County",NA,NA
20,239,"UGA","Uganda",6,"Bushenyi",20,"Sheema","County","County",NA,NA
21,239,"UGA","Uganda",7,"Busia",21,"Samia-Bugwe","County","County",NA,NA
22,239,"UGA","Uganda",8,"Gulu",22,"Aswa","County","County",NA,NA
23,239,"UGA","Uganda",8,"Gulu",23,"Gulu","County","County",NA,"Gulu Municipality"
24,239,"UGA","Uganda",8,"Gulu",24,"Kilak","County","County",NA,NA
25,239,"UGA","Uganda",8,"Gulu",25,"Nwoya","County","County",NA,NA
26,239,"UGA","Uganda",8,"Gulu",26,"Omoro","County","County",NA,NA
27,239,"UGA","Uganda",9,"Hoima",27,"Bugahya","County","County",NA,NA
28,239,"UGA","Uganda",9,"Hoima",28,"Buhaguzi","County","County",NA,NA
29,239,"UGA","Uganda",10,"Iganga",29,"Bugweri","County","County",NA,NA
30,239,"UGA","Uganda",10,"Iganga",30,"Busiki","County","County",NA,NA
31,239,"UGA","Uganda",10,"Iganga",31,"Kigulu","County","County",NA,NA
32,239,"UGA","Uganda",10,"Iganga",32,"Luuka","County","County",NA,NA
33,239,"UGA","Uganda",11,"Jinja",33,"Butembe","County","County",NA,NA
34,239,"UGA","Uganda",11,"Jinja",34,"Jinja","County","County",NA,"Jinja Municipality"
35,239,"UGA","Uganda",11,"Jinja",35,"Kagoma","County","County",NA,NA
36,239,"UGA","Uganda",12,"Kabale",36,"Kabale","Municipality","Municipality",NA,NA
37,239,"UGA","Uganda",12,"Kabale",37,"Ndorwa","County","County",NA,NA
38,239,"UGA","Uganda",12,"Kabale",38,"Rubanda","County","County",NA,NA
39,239,"UGA","Uganda",12,"Kabale",39,"Rukiga","County","County",NA,NA
40,239,"UGA","Uganda",13,"Kabarole",40,"Bunyangabu","County","County",NA,NA
41,239,"UGA","Uganda",13,"Kabarole",41,"Burahya","County","County",NA,NA
42,239,"UGA","Uganda",13,"Kabarole",42,"Fort Portal","County","County",NA,NA
43,239,"UGA","Uganda",14,"Kaberamaido",43,"Kaberamaido","County","County",NA,NA
44,239,"UGA","Uganda",14,"Kaberamaido",44,"Kalaki","County","County",NA,NA
45,239,"UGA","Uganda",15,"Kalangala",45,"Bujumba","County","County",NA,NA
