"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc","Sub-county","Sub-county",NA,NA
2,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi","Sub-county","Sub-county",NA,NA
3,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo","Sub-county","Sub-county",NA,NA
4,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi","Sub-county","Sub-county",NA,NA
5,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",5,"Ofua","Sub-county","Sub-county",NA,NA
6,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",6,"Pakelle","Sub-county","Sub-county",NA,NA
7,239,"UGA","Uganda",2,"Apac",2,"Kole",7,"Aboke","Sub-county","Sub-county",NA,NA
8,239,"UGA","Uganda",2,"Apac",2,"Kole",8,"Akalo","Sub-county","Sub-county",NA,NA
9,239,"UGA","Uganda",2,"Apac",2,"Kole",9,"Alito","Sub-county","Sub-county",NA,NA
10,239,"UGA","Uganda",2,"Apac",2,"Kole",10,"Ayer","Sub-county","Sub-county",NA,NA
11,239,"UGA","Uganda",2,"Apac",2,"Kole",11,"Balla","Sub-county","Sub-county",NA,"Bala"
12,239,"UGA","Uganda",2,"Apac",3,"Kwania",12,"Abongomola","Sub-county","Sub-county",NA,NA
13,239,"UGA","Uganda",2,"Apac",3,"Kwania",13,"Aduku","Sub-county","Sub-county",NA,NA
14,239,"UGA","Uganda",2,"Apac",3,"Kwania",14,"Cawente","Sub-county","Sub-county",NA,"Chawente"
15,239,"UGA","Uganda",2,"Apac",3,"Kwania",15,"Inomo","Sub-county","Sub-county",NA,NA
16,239,"UGA","Uganda",2,"Apac",3,"Kwania",16,"Nambieso","Sub-county","Sub-county",NA,NA
