"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc",1,"Biyaya",NA,"Parish","Parish"
2,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc",2,"Central",NA,"Parish","Parish"
3,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",1,"Adjumani Tc",3,"Cesia",NA,"Parish","Parish"
4,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",4,"Esia",NA,"Parish","Parish"
5,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",5,"Jihwa",NA,"Parish","Parish"
6,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",6,"Lajopi",NA,"Parish","Parish"
7,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",7,"Marindi",NA,"Parish","Parish"
8,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",8,"Omi",NA,"Parish","Parish"
9,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",2,"Adropi",9,"Openzinzi",NA,"Parish","Parish"
10,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",10,"Gulinya",NA,"Parish","Parish"
11,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",11,"Kiraba",NA,"Parish","Parish"
12,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",12,"Loa",NA,"Parish","Parish"
13,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",13,"Maaji",NA,"Parish","Parish"
14,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",14,"Mugi",NA,"Parish","Parish"
15,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",15,"Okangali",NA,"Parish","Parish"
16,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",3,"Ciforo",16,"Opejo",NA,"Parish","Parish"
17,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",17,"Ajugopi",NA,"Parish","Parish"
18,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",18,"Arinyapi",NA,"Parish","Parish"
19,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",19,"Elegu",NA,"Parish","Parish"
20,239,"UGA","Uganda",1,"Adjumani",1,"East Moyo",4,"Dzaipi",20,"Liri",NA,"Parish","Parish"
