"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,254,"YEM","Yemen",1,"`Adan",1,"Al Buraiqeh","Muderiah","District","<U+0627><U+0644><U+0628><U+0631><U+064A><U+0642><U+0647>",NA
2,254,"YEM","Yemen",1,"`Adan",2,"Al Mansura","Muderiah","District","<U+0627><U+0644><U+0645><U+0646><U+0635><U+0648><U+0631><U+0629>",NA
3,254,"YEM","Yemen",1,"`Adan",3,"Al Mualla","Muderiah","District","<U+0627><U+0644><U+0645><U+0639><U+0644><U+0627>",NA
4,254,"YEM","Yemen",1,"`Adan",4,"Ash Shaikh Outhman","Muderiah","District","<U+0627><U+0644><U+0634><U+064A><U+062E> <U+0639><U+062B><U+0645><U+0627><U+0646>",NA
5,254,"YEM","Yemen",1,"`Adan",5,"Attawahi","Muderiah","District","<U+0627><U+0644><U+062A><U+0648><U+0627><U+0647><U+064A>",NA
6,254,"YEM","Yemen",1,"`Adan",6,"Craiter","Muderiah","District","<U+0643><U+0631><U+064A><U+062A><U+0631>",NA
7,254,"YEM","Yemen",1,"`Adan",7,"Dar Sad","Muderiah","District","<U+062F><U+0627><U+0631> <U+0633><U+0639><U+062F>",NA
8,254,"YEM","Yemen",1,"`Adan",8,"Khur Maksar","Muderiah","District","<U+062E><U+0648><U+0631> <U+0645><U+0643><U+0633><U+0631>",NA
9,254,"YEM","Yemen",2,"Abyan",9,"Ahwar","Muderiah","District","<U+0627><U+062D><U+0648><U+0627><U+0631>",NA
10,254,"YEM","Yemen",2,"Abyan",10,"Al Mahfad","Muderiah","District","<U+0627><U+0644><U+0645><U+062D><U+0641><U+062F>",NA
11,254,"YEM","Yemen",2,"Abyan",11,"Al Wade'a","Muderiah","District","<U+0627><U+0644><U+0648><U+0636><U+064A><U+0639>",NA
12,254,"YEM","Yemen",2,"Abyan",12,"Jayshan","Muderiah","District","<U+062C><U+064A><U+0634><U+0627><U+0646>",NA
13,254,"YEM","Yemen",2,"Abyan",13,"Khanfir","Muderiah","District","<U+062E><U+0646><U+0641><U+0631>",NA
14,254,"YEM","Yemen",2,"Abyan",14,"Lawdar","Muderiah","District","<U+0644><U+0648><U+062F><U+0631>",NA
15,254,"YEM","Yemen",2,"Abyan",15,"Mudiyah","Muderiah","District","<U+0645><U+0648><U+062F><U+064A><U+0647>",NA
16,254,"YEM","Yemen",2,"Abyan",16,"Rasad","Muderiah","District","<U+0631><U+0635><U+062F>",NA
17,254,"YEM","Yemen",2,"Abyan",17,"Sarar","Muderiah","District","<U+0633><U+0631><U+0627><U+0631>",NA
18,254,"YEM","Yemen",2,"Abyan",18,"Sibah","Muderiah","District","<U+0633><U+0628><U+0627><U+062D>",NA
19,254,"YEM","Yemen",2,"Abyan",19,"Zingibar","Muderiah","District","<U+0632><U+0646><U+062C><U+0628><U+0627><U+0631>",NA
20,254,"YEM","Yemen",3,"Al Bayda'",20,"Al A'rsh","Muderiah","District","<U+0627><U+0644><U+0639><U+0631><U+0634>",NA
21,254,"YEM","Yemen",3,"Al Bayda'",21,"Al Bayda City","Muderiah","District","<U+0645><U+062F><U+064A><U+0646><U+0629> <U+0627><U+0644><U+0628><U+064A><U+0636><U+0627><U+0621>",NA
22,254,"YEM","Yemen",3,"Al Bayda'",22,"Al Bayda","Muderiah","District","<U+0627><U+0644><U+0628><U+064A><U+0636><U+0627><U+0621>",NA
23,254,"YEM","Yemen",3,"Al Bayda'",23,"Al Malagim","Muderiah","District","<U+0627><U+0644><U+0645><U+0644><U+0627><U+062C><U+0645>",NA
24,254,"YEM","Yemen",3,"Al Bayda'",24,"Al Quraishyah","Muderiah","District","<U+0627><U+0644><U+0642><U+0631><U+064A><U+0634><U+064A><U+0629>",NA
25,254,"YEM","Yemen",3,"Al Bayda'",25,"Ar Ryashyyah","Muderiah","District","<U+0627><U+0644><U+0631><U+064A><U+0627><U+0634><U+064A><U+0629>",NA
26,254,"YEM","Yemen",3,"Al Bayda'",26,"As Sawadiyah","Muderiah","District","<U+0627><U+0644><U+0633><U+0648><U+0627><U+062F><U+064A><U+0629>",NA
27,254,"YEM","Yemen",3,"Al Bayda'",27,"As Sawma'ah","Muderiah","District","<U+0627><U+0644><U+0635><U+0648><U+0645><U+0639><U+0629>",NA
28,254,"YEM","Yemen",3,"Al Bayda'",28,"Ash Sharyah","Muderiah","District","<U+0627><U+0644><U+0634><U+0631><U+064A><U+0629>",NA
29,254,"YEM","Yemen",3,"Al Bayda'",29,"At Taffah","Muderiah","District","<U+0627><U+0644><U+0637><U+0641><U+0629>",NA
30,254,"YEM","Yemen",3,"Al Bayda'",30,"Az Zahir","Muderiah","District","<U+0627><U+0644><U+0632><U+0627><U+0647><U+0631>",NA
31,254,"YEM","Yemen",3,"Al Bayda'",31,"Dhi Na'im","Muderiah","District","<U+0630><U+064A> <U+0646><U+0627><U+0639><U+0645>",NA
32,254,"YEM","Yemen",3,"Al Bayda'",32,"Maswarah","Muderiah","District","<U+0645><U+0633><U+0648><U+0631><U+0629>",NA
33,254,"YEM","Yemen",3,"Al Bayda'",33,"Mukayras","Muderiah","District","<U+0645><U+0643><U+064A><U+0631><U+0627><U+0633>",NA
34,254,"YEM","Yemen",3,"Al Bayda'",34,"Na'man","Muderiah","District","<U+0646><U+0639><U+0645><U+0627><U+0646>",NA
35,254,"YEM","Yemen",3,"Al Bayda'",35,"Nati'","Muderiah","District","<U+0646><U+0627><U+0637><U+0639>",NA
36,254,"YEM","Yemen",3,"Al Bayda'",36,"Rada'","Muderiah","District","<U+0631><U+062F><U+0627><U+0639>",NA
37,254,"YEM","Yemen",3,"Al Bayda'",37,"Radman Al Awad","Muderiah","District","<U+0631><U+062F><U+0645><U+0627><U+0646>",NA
38,254,"YEM","Yemen",3,"Al Bayda'",38,"Sabah","Muderiah","District","<U+0635><U+0628><U+0627><U+062D>",NA
39,254,"YEM","Yemen",3,"Al Bayda'",39,"Wald Rabi'","Muderiah","District","<U+0648><U+0644><U+062F> <U+0631><U+0628><U+064A><U+0639>",NA
40,254,"YEM","Yemen",4,"Al Dali'",40,"Ad Dhale'e","Muderiah","District","<U+0627><U+0644><U+0636><U+0627><U+0644><U+0639>",NA
41,254,"YEM","Yemen",4,"Al Dali'",41,"Al Azariq","Muderiah","District","<U+0627><U+0644><U+0627><U+0632><U+0627><U+0631><U+0642>",NA
42,254,"YEM","Yemen",4,"Al Dali'",42,"Al Husha","Muderiah","District","<U+0627><U+0644><U+062D><U+0634><U+0627><U+0621>",NA
43,254,"YEM","Yemen",4,"Al Dali'",43,"Al Hussein","Muderiah","District","<U+0627><U+0644><U+062D><U+0635><U+064A><U+0646>",NA
44,254,"YEM","Yemen",4,"Al Dali'",44,"Ash Shu'ayb","Muderiah","District","<U+0627><U+0644><U+0634><U+0639><U+064A><U+0628>",NA
45,254,"YEM","Yemen",4,"Al Dali'",45,"Damt","Muderiah","District","<U+062F><U+0645><U+062A>",NA
46,254,"YEM","Yemen",4,"Al Dali'",46,"Jahaf","Muderiah","District","<U+062C><U+062D><U+0627><U+0641>",NA
