"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,255,"ZMB","Zambia",1,"Central","Province","Province",NA,"Broken Hill"
2,255,"ZMB","Zambia",2,"Copperbelt","Province","Province",NA,"Western"
3,255,"ZMB","Zambia",3,"Eastern","Province","Province",NA,"Fort Jameson"
4,255,"ZMB","Zambia",4,"Luapula","Province","Province",NA,"Fort Rosebery"
5,255,"ZMB","Zambia",5,"Lusaka","Province","Province",NA,NA
6,255,"ZMB","Zambia",6,"Muchinga","Province","Province",NA,NA
7,255,"ZMB","Zambia",7,"North-Western","Province","Province",NA,NA
8,255,"ZMB","Zambia",8,"Northern","Province","Province",NA,NA
9,255,"ZMB","Zambia",9,"Southern","Province","Province",NA,NA
10,255,"ZMB","Zambia",10,"Western","Province","Province",NA,"Barotseland"
