"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,255,"ZMB","Zambia",1,"Central",1,"Chibombo","District","District",NA,NA
2,255,"ZMB","Zambia",1,"Central",2,"Kabwe","District","District",NA,NA
3,255,"ZMB","Zambia",1,"Central",3,"Kapiri Mposhi","District","District",NA,NA
4,255,"ZMB","Zambia",1,"Central",4,"Mkushi","District","District",NA,NA
5,255,"ZMB","Zambia",1,"Central",5,"Mumbwa","District","District",NA,NA
6,255,"ZMB","Zambia",1,"Central",6,"Serenje","District","District",NA,NA
7,255,"ZMB","Zambia",2,"Copperbelt",7,"Chililabombwe","District","District",NA,NA
8,255,"ZMB","Zambia",2,"Copperbelt",8,"Chingola","District","District",NA,NA
9,255,"ZMB","Zambia",2,"Copperbelt",9,"Kalulushi","District","District",NA,NA
10,255,"ZMB","Zambia",2,"Copperbelt",10,"Kitwe","District","District",NA,NA
11,255,"ZMB","Zambia",2,"Copperbelt",11,"Luanshya","District","District",NA,NA
12,255,"ZMB","Zambia",2,"Copperbelt",12,"Lufwanyama","District","District",NA,NA
13,255,"ZMB","Zambia",2,"Copperbelt",13,"Masaiti","District","District",NA,NA
14,255,"ZMB","Zambia",2,"Copperbelt",14,"MPongwe","District","District",NA,NA
15,255,"ZMB","Zambia",2,"Copperbelt",15,"Mufulira","District","District",NA,NA
16,255,"ZMB","Zambia",2,"Copperbelt",16,"Ndola","District","District",NA,NA
17,255,"ZMB","Zambia",3,"Eastern",17,"Chadiza","District","District",NA,NA
18,255,"ZMB","Zambia",3,"Eastern",18,"Chipata","District","District",NA,NA
19,255,"ZMB","Zambia",3,"Eastern",19,"Katete","District","District",NA,NA
20,255,"ZMB","Zambia",3,"Eastern",20,"Lundazi","District","District",NA,NA
21,255,"ZMB","Zambia",3,"Eastern",21,"Mambwe","District","District",NA,NA
22,255,"ZMB","Zambia",3,"Eastern",22,"Nyimba","District","District",NA,NA
23,255,"ZMB","Zambia",3,"Eastern",23,"Petauke","District","District",NA,NA
24,255,"ZMB","Zambia",4,"Luapula",24,"Chiengi","District","District",NA,NA
25,255,"ZMB","Zambia",4,"Luapula",25,"Kawambwa","District","District",NA,NA
26,255,"ZMB","Zambia",4,"Luapula",26,"Mansa","District","District",NA,NA
27,255,"ZMB","Zambia",4,"Luapula",27,"Milenge","District","District",NA,NA
28,255,"ZMB","Zambia",4,"Luapula",28,"Mwense","District","District",NA,NA
29,255,"ZMB","Zambia",4,"Luapula",29,"Nchelenge","District","District",NA,NA
30,255,"ZMB","Zambia",4,"Luapula",30,"Samfya","District","District",NA,NA
31,255,"ZMB","Zambia",5,"Lusaka",31,"Chongwe","District","District",NA,NA
32,255,"ZMB","Zambia",5,"Lusaka",32,"Kafue","District","District",NA,NA
33,255,"ZMB","Zambia",5,"Lusaka",33,"Luangwa","District","District",NA,NA
34,255,"ZMB","Zambia",5,"Lusaka",34,"Lusaka","District","District",NA,NA
35,255,"ZMB","Zambia",6,"Muchinga",35,"Chama","District","District",NA,NA
36,255,"ZMB","Zambia",6,"Muchinga",36,"Chinsali","District","District",NA,NA
37,255,"ZMB","Zambia",6,"Muchinga",37,"Isoka","District","District",NA,NA
38,255,"ZMB","Zambia",6,"Muchinga",38,"Mpika","District","District",NA,NA
39,255,"ZMB","Zambia",6,"Muchinga",39,"Nakonde","District","District",NA,NA
40,255,"ZMB","Zambia",7,"North-Western",40,"Chavuma","District","District",NA,NA
41,255,"ZMB","Zambia",7,"North-Western",41,"Kabompo","District","District",NA,NA
42,255,"ZMB","Zambia",7,"North-Western",42,"Kasempa","District","District",NA,NA
43,255,"ZMB","Zambia",7,"North-Western",43,"Mufumbwe","District","District",NA,NA
44,255,"ZMB","Zambia",7,"North-Western",44,"Mwinilunga","District","District",NA,NA
